timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected
2026-04-04 09:12:45,30,0,0,0,0,2,2
2026-04-04 09:12:46,92,62,14,0,14,2,3
2026-04-04 09:12:47,1136,1044,361,2,349,4,5
2026-04-04 09:12:48,3215,2079,1071,6,714,6,7
2026-04-04 09:12:49,6480,3265,2197,9,1129,8,9
2026-04-04 09:12:50,11210,4730,3820,18,1632,11,12
2026-04-04 09:12:51,18120,6910,6213,29,2404,11,14
2026-04-04 09:12:52,26650,8530,9172,42,2972,14,16
2026-04-04 09:12:53,36630,9980,12640,57,3483,17,18
2026-04-04 09:12:54,48296,11666,16684,75,4062,19,20
2026-04-04 09:12:55,60874,12578,21054,90,4385,19,22
2026-04-04 09:12:56,74634,13760,25819,114,4789,22,24
2026-04-04 09:12:57,89956,15322,31125,139,5331,23,27
2026-04-04 09:12:58,106397,16441,36826,159,5721,28,29
2026-04-04 09:12:59,124193,17796,42995,192,6202,29,31
2026-04-04 09:13:01,142208,18015,49257,211,6281,32,34
2026-04-04 09:13:02,161196,18988,55841,233,6606,34,35
2026-04-04 09:13:03,180268,19072,62481,259,6666,36,37
2026-04-04 09:13:04,201583,21315,69847,296,7403,37,39
2026-04-04 09:13:05,223859,22276,77583,326,7766,37,42
2026-04-04 09:13:06,248864,25005,86275,358,8724,42,44
2026-04-04 09:13:07,274735,25871,95248,390,9005,44,46
2026-04-04 09:13:08,302395,27660,104816,441,9619,45,48
2026-04-04 09:13:09,330124,27729,114438,481,9662,49,50
2026-04-04 09:13:10,359535,29411,124630,524,10235,48,52
2026-04-04 09:13:11,389499,29964,135035,568,10449,54,55
2026-04-04 09:13:12,421890,32391,146266,615,11278,52,57
2026-04-04 09:13:13,454144,32254,157489,659,11267,53,59
2026-04-04 09:13:15,486937,32793,168871,711,11434,54,62
2026-04-04 09:13:16,521413,34476,180798,754,11970,55,63
2026-04-04 09:13:17,555919,34506,192736,805,11989,62,65
2026-04-04 09:13:18,591064,35145,204917,856,12232,62,66
2026-04-04 09:13:19,626707,35643,217278,916,12421,61,66
2026-04-04 09:13:20,662533,35826,229712,966,12484,56,66
2026-04-04 09:13:21,699658,37125,242581,1024,12927,57,66
2026-04-04 09:13:22,736782,37124,255473,1079,12947,63,66
2026-04-04 09:13:23,775009,38227,268715,1146,13309,62,66
2026-04-04 09:13:24,814442,39433,282360,1204,13703,58,66
2026-04-04 09:13:25,852950,38508,295722,1275,13433,62,66
2026-04-04 09:13:27,893170,40220,309676,1347,14026,63,67
2026-04-04 09:13:28,929362,36192,322257,1404,12638,64,66
2026-04-04 09:13:29,963419,34057,334025,1466,11830,62,66
2026-04-04 09:13:30,994646,31227,344851,1518,10878,60,66
2026-04-04 09:13:31,1024367,29721,355173,1562,10366,64,66
2026-04-04 09:13:32,1054847,30480,365734,1611,10610,61,66
2026-04-04 09:13:33,1084646,29799,376077,1653,10385,62,66
2026-04-04 09:13:34,1116269,31623,387055,1699,11024,64,66
2026-04-04 09:13:35,1144920,28651,396999,1741,9986,49,66
2026-04-04 09:13:36,1174059,29139,407092,1794,10146,62,66
2026-04-04 09:13:37,1207997,33938,418893,1832,11839,53,66
2026-04-04 09:13:38,1238503,30506,429427,1897,10599,55,66
2026-04-04 09:13:40,1269770,31267,440248,1959,10883,59,66
2026-04-04 09:13:41,1303952,34182,452085,2005,11883,64,67
2026-04-04 09:13:42,1336254,32302,463257,2059,11226,64,66
2026-04-04 09:13:43,1368100,31846,474314,2109,11107,58,66
2026-04-04 09:13:44,1400536,32436,485590,2153,11320,64,66
2026-04-04 09:13:45,1432404,31868,496633,2203,11093,62,66
2026-04-04 09:13:46,1462193,29789,506929,2268,10361,57,66
2026-04-04 09:13:47,1493592,31399,517822,2319,10944,64,66
2026-04-04 09:13:48,1525317,31725,528836,2361,11056,64,66
2026-04-04 09:13:49,1557410,32093,539953,2415,11171,60,66
2026-04-04 09:13:50,1588194,30784,550631,2459,10722,58,66
2026-04-04 09:13:51,1621682,33488,562213,2516,11639,56,66
2026-04-04 09:13:53,1654581,32899,573661,2568,11500,56,67
2026-04-04 09:13:54,1687386,32805,585077,2603,11451,59,66
2026-04-04 09:13:55,1721332,33946,596856,2649,11825,65,66
2026-04-04 09:13:56,1753169,31837,607903,2694,11092,62,66
2026-04-04 09:13:57,1786022,32853,619289,2747,11439,63,66
2026-04-04 09:13:58,1817148,31126,630099,2798,10861,64,66
2026-04-04 09:13:59,1848283,31135,640879,2842,10824,62,66
2026-04-04 09:14:00,1881291,33008,652364,2893,11536,64,66
2026-04-04 09:14:01,1912576,31285,663214,2946,10903,61,66
2026-04-04 09:14:02,1944000,31424,674093,2992,10925,54,66
2026-04-04 09:14:03,1977366,33366,685685,3044,11644,65,66
2026-04-04 09:14:05,2010573,33207,697161,3093,11525,65,67
2026-04-04 09:14:06,2044413,33840,708869,3152,11767,62,66
2026-04-04 09:14:07,2074572,30159,719340,3203,10522,55,66
2026-04-04 09:14:08,2109003,34431,731292,3251,12000,65,66
2026-04-04 09:14:09,2139340,30337,741784,3306,10547,64,66
2026-04-04 09:14:10,2168377,29037,751843,3347,10100,62,66
2026-04-04 09:14:11,2196446,28069,761605,3380,9795,65,66
2026-04-04 09:14:12,2218683,22237,769302,3407,7724,63,66
2026-04-04 09:14:13,2248257,29574,779552,3459,10302,58,66
2026-04-04 09:14:14,2283346,35089,791691,3518,12198,65,66
2026-04-04 09:14:15,2310971,27625,801291,3561,9643,62,66
2026-04-04 09:14:17,2338963,27992,811013,3608,9769,65,67
2026-04-04 09:14:18,2369110,30147,821505,3654,10538,56,66
2026-04-04 09:14:19,2400640,31530,832423,3699,10963,65,66
2026-04-04 09:14:20,2430779,30139,842885,3751,10514,53,66
2026-04-04 09:14:21,2461653,30874,853571,3803,10738,61,66
2026-04-04 09:14:22,2486213,24560,862115,3832,8573,66,66
2026-04-04 09:14:23,2514741,28528,872017,3865,9935,65,66
2026-04-04 09:14:24,2542885,28144,881806,3903,9827,65,66
2026-04-04 09:14:25,2565854,22969,889767,3939,7997,64,66
2026-04-04 09:14:26,2596152,30298,900291,3984,10569,62,66
2026-04-04 09:14:28,2627471,31319,911159,4041,10925,63,66
2026-04-04 09:14:29,2655065,27594,920748,4082,9630,63,66
2026-04-04 09:14:30,2683673,28608,930698,4121,9989,65,66
2026-04-04 09:14:31,2713264,29591,940967,4162,10310,49,66
2026-04-04 09:14:32,2738866,25602,949821,4201,8893,61,66
2026-04-04 09:14:33,2766508,27642,959419,4246,9643,64,66
2026-04-04 09:14:34,2795471,28963,969487,4272,10094,62,66
2026-04-04 09:14:35,2826274,30803,980171,4329,10741,64,66
2026-04-04 09:14:36,2850996,24722,988769,4360,8629,65,66
2026-04-04 09:14:37,2879211,28215,998539,4408,9818,64,66
2026-04-04 09:14:39,2909660,30449,1009142,4453,10648,58,67
2026-04-04 09:14:40,2934516,24856,1017762,4487,8654,64,66
2026-04-04 09:14:41,2963546,29030,1027825,4522,10098,64,66
2026-04-04 09:14:42,2994190,30644,1038459,4576,10688,61,66
2026-04-04 09:14:43,3028100,33910,1050235,4625,11825,61,66
2026-04-04 09:14:44,3054559,26459,1059416,4660,9216,65,66
2026-04-04 09:14:45,3084260,29701,1069738,4712,10374,64,66
2026-04-04 09:14:46,3113276,29016,1079802,4752,10104,65,66
2026-04-04 09:14:47,3139707,26431,1089014,4793,9253,63,66
2026-04-04 09:14:48,3164192,24485,1097495,4828,8516,55,66
2026-04-04 09:14:49,3191865,27673,1107071,4857,9605,65,66
2026-04-04 09:14:50,3220569,28704,1117004,4898,9974,65,66
2026-04-04 09:14:51,3254135,33566,1128624,4943,11665,60,66
2026-04-04 09:14:53,3281716,27581,1138191,4992,9616,63,67
2026-04-04 09:14:54,3311073,29357,1148399,5037,10253,64,66
2026-04-04 09:14:55,3332476,21403,1155793,5084,7441,51,66
2026-04-04 09:14:56,3359050,26574,1164945,5133,9201,58,66
2026-04-04 09:14:57,3389464,30414,1175489,5179,10590,65,66
2026-04-04 09:14:58,3416302,26838,1184822,5225,9379,58,66
2026-04-04 09:14:59,3447229,30927,1195535,5274,10762,65,66
2026-04-04 09:15:00,3477912,30683,1206205,5318,10714,65,66
2026-04-04 09:15:01,3506243,28331,1216038,5363,9878,64,66
2026-04-04 09:15:02,3526820,20577,1223187,5394,7180,64,66
2026-04-04 09:15:03,3558786,31966,1234275,5441,11135,61,66
2026-04-04 09:15:04,3589274,30488,1244867,5488,10639,56,66
2026-04-04 09:15:06,3615103,25829,1253810,5526,8981,56,66
2026-04-04 09:15:07,3644805,29702,1264114,5569,10347,48,66
2026-04-04 09:15:08,3675893,31088,1274883,5606,10806,65,66
2026-04-04 09:15:09,3707761,31868,1285924,5657,11092,61,66
2026-04-04 09:15:10,3732771,25010,1294608,5691,8718,65,66
2026-04-04 09:15:11,3762272,29501,1304831,5734,10266,64,66
2026-04-04 09:15:12,3792903,30631,1315469,5786,10690,63,66
2026-04-04 09:15:13,3824398,31495,1326413,5817,10975,63,66
2026-04-04 09:15:15,3855847,31449,1337318,5877,10965,65,67
2026-04-04 09:15:16,3881774,25927,1346277,5912,8994,64,66
2026-04-04 09:15:17,3910795,29021,1356338,5950,10099,63,66
2026-04-04 09:15:18,3941445,30650,1367010,5986,10708,64,66
2026-04-04 09:15:19,3977820,36375,1379603,6032,12639,59,66
2026-04-04 09:15:20,4011208,33388,1391184,6080,11629,65,66
2026-04-04 09:15:21,4044491,33283,1402728,6136,11600,63,66
2026-04-04 09:15:22,4070067,25576,1411607,6172,8915,63,66
2026-04-04 09:15:23,4090470,20403,1418644,6210,7075,65,66
2026-04-04 09:15:25,4123820,33350,1430224,6260,11630,60,67
2026-04-04 09:15:26,4157386,33566,1441831,6318,11665,63,66
2026-04-04 09:15:27,4185459,28073,1451561,6364,9776,65,67
2026-04-04 09:15:28,4209023,23564,1459739,6410,8224,64,66
2026-04-04 09:15:29,4241725,32702,1471083,6460,11394,59,66
2026-04-04 09:15:30,4271195,29470,1481298,6494,10249,65,66
2026-04-04 09:15:31,4303398,32203,1492472,6542,11222,65,66
2026-04-04 09:15:32,4333061,29663,1502728,6596,10310,65,66
2026-04-04 09:15:33,4365608,32547,1514013,6648,11337,64,66
2026-04-04 09:15:34,4388652,23044,1521983,6685,8007,63,66
2026-04-04 09:15:35,4422621,33969,1533752,6738,11822,55,66
2026-04-04 09:15:37,4455751,33130,1545205,6798,11513,61,67
2026-04-04 09:15:38,4483419,27668,1554793,6845,9635,62,66
2026-04-04 09:15:39,4512470,29051,1564865,6898,10125,56,66
2026-04-04 09:15:40,4545445,32975,1576296,6956,11489,56,66
2026-04-04 09:15:41,4577382,31937,1587370,6993,11111,63,66
2026-04-04 09:15:42,4608181,30799,1598023,7050,10710,63,66
2026-04-04 09:15:43,4639674,31493,1608959,7092,10978,63,66
2026-04-04 09:15:44,4665753,26079,1617994,7138,9081,64,66
2026-04-04 09:15:45,4693778,28025,1627721,7176,9765,57,66
2026-04-04 09:15:46,4723261,29483,1637945,7227,10275,60,67
2026-04-04 09:15:48,4751508,28247,1647732,7281,9841,59,66
2026-04-04 09:15:49,4782547,31039,1658479,7343,10809,65,66
2026-04-04 09:15:50,4800090,17543,1664573,7377,6128,64,66
2026-04-04 09:15:51,4832939,32849,1675928,7424,11402,64,66
2026-04-04 09:15:52,4862217,29278,1686051,7478,10177,64,66
2026-04-04 09:15:53,4894338,32121,1697181,7538,11190,63,66
2026-04-04 09:15:54,4919258,24920,1705797,7586,8664,64,66
2026-04-04 09:15:55,4952139,32881,1717194,7633,11444,64,66
2026-04-04 09:15:56,4977281,25142,1725897,7669,8739,62,66
2026-04-04 09:15:57,5003932,26651,1735105,7710,9249,64,66
2026-04-04 09:15:59,5038088,34156,1746965,7761,11911,60,67
2026-04-04 09:16:00,5063006,24918,1755607,7799,8680,63,66
2026-04-04 09:16:01,5094929,31923,1766710,7845,11149,64,66
2026-04-04 09:16:02,5125165,30236,1777174,7900,10519,59,66
2026-04-04 09:16:03,5147456,22291,1784903,7940,7769,63,66
2026-04-04 09:16:04,5180088,32632,1796240,7994,11391,64,66
2026-04-04 09:16:05,5208229,28141,1805981,8035,9782,62,66
2026-04-04 09:16:06,5235710,27481,1815524,8079,9587,64,66
2026-04-04 09:16:07,5263898,28188,1825297,8129,9823,65,66
2026-04-04 09:16:08,5294661,30763,1835980,8175,10729,61,66
2026-04-04 09:16:09,5321231,26570,1845181,8212,9238,62,66
2026-04-04 09:16:10,5354645,33414,1856751,8270,11628,61,66
2026-04-04 09:16:12,5371128,16483,1862470,8299,5748,56,66
2026-04-04 09:16:13,5399671,28543,1872354,8342,9927,64,67
2026-04-04 09:16:14,5428051,28380,1882172,8395,9871,64,66
2026-04-04 09:16:15,5457865,29814,1892538,8443,10414,64,66
2026-04-04 09:16:16,5487024,29159,1902638,8493,10150,65,66
2026-04-04 09:16:17,5515266,28242,1912426,8539,9834,65,66
2026-04-04 09:16:18,5544693,29427,1922654,8580,10269,64,66
2026-04-04 09:16:19,5577836,33143,1934172,8617,11555,65,66
2026-04-04 09:16:20,5610613,32777,1945502,8682,11395,59,66
2026-04-04 09:16:21,5641835,31222,1956344,8719,10879,61,66
2026-04-04 09:16:22,5673416,31581,1967285,8759,10981,64,66
2026-04-04 09:16:24,5701262,27846,1976935,8801,9692,63,66
2026-04-04 09:16:25,5734128,32866,1988332,8866,11462,61,66
2026-04-04 09:16:26,5763954,29826,1998657,8915,10374,64,66
2026-04-04 09:16:27,5793257,29303,2008852,8956,10236,57,66
2026-04-04 09:16:28,5818982,25725,2017786,9000,8978,63,66
2026-04-04 09:16:29,5845456,26474,2027008,9039,9261,59,66
2026-04-04 09:16:30,5867905,22449,2034774,9075,7802,65,66
2026-04-04 09:16:31,5897065,29160,2044913,9116,10180,44,66
2026-04-04 09:16:32,5923861,26796,2054168,9169,9308,63,66
2026-04-04 09:16:33,5954154,30293,2064682,9221,10566,64,66
2026-04-04 09:16:35,5984309,30155,2075129,9265,10491,63,67
2026-04-04 09:16:36,6009776,25467,2083963,9304,8873,65,66
2026-04-04 09:16:37,6038997,29221,2094098,9350,10181,65,66
2026-04-04 09:16:38,6067687,28690,2104057,9389,9998,65,66
2026-04-04 09:16:39,6094215,26528,2113306,9423,9283,64,66
2026-04-04 09:16:40,6126276,32061,2124385,9475,11131,64,66
2026-04-04 09:16:41,6155843,29567,2134639,9527,10306,65,66
2026-04-04 09:16:42,6179685,23842,2142907,9568,8309,61,66
2026-04-04 09:16:43,6211125,31440,2153770,9620,10915,61,66
2026-04-04 09:16:44,6241039,29914,2164170,9668,10448,60,66
2026-04-04 09:16:45,6272579,31540,2175127,9720,11009,56,66
2026-04-04 09:16:46,6300463,27884,2184806,9751,9710,65,66
2026-04-04 09:16:48,6328105,27642,2194390,9804,9637,63,66
2026-04-04 09:16:49,6346671,18566,2200826,9842,6474,65,66
2026-04-04 09:16:50,6377553,30882,2211580,9880,10792,64,66
2026-04-04 09:16:51,6408640,31087,2222384,9918,10842,65,66
2026-04-04 09:16:52,6437112,28472,2232228,9964,9890,64,66
