timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected
2026-04-04 09:22:01,90,0,0,0,0,1,1
2026-04-04 09:22:02,180,90,27,0,27,2,3
2026-04-04 09:22:03,1348,1168,426,0,399,4,5
2026-04-04 09:22:04,3985,2637,1333,7,914,5,7
2026-04-04 09:22:05,8191,4206,2779,14,1453,8,9
2026-04-04 09:22:06,13886,5695,4751,24,1982,11,12
2026-04-04 09:22:07,21515,7629,7384,39,2648,13,14
2026-04-04 09:22:08,30125,8610,10374,55,3006,14,16
2026-04-04 09:22:09,40613,10488,14014,67,3652,14,18
2026-04-04 09:22:10,52677,12064,18188,82,4189,17,20
2026-04-04 09:22:11,65793,13116,22701,111,4542,21,22
2026-04-04 09:22:12,80271,14478,27726,132,5046,22,24
2026-04-04 09:22:14,96012,15741,33168,160,5470,24,27
2026-04-04 09:22:15,112539,16527,38907,187,5766,25,30
2026-04-04 09:22:16,129469,16930,44779,208,5893,28,31
2026-04-04 09:22:17,147467,17998,51014,239,6266,29,33
2026-04-04 09:22:18,166830,19363,57728,273,6748,33,35
2026-04-04 09:22:19,186955,20125,64711,301,7011,35,37
2026-04-04 09:22:20,210249,23294,72802,344,8134,35,39
2026-04-04 09:22:21,235104,24855,81400,381,8635,40,42
2026-04-04 09:22:22,261243,26139,90466,422,9107,38,44
2026-04-04 09:22:23,288837,27594,100016,472,9600,43,46
2026-04-04 09:22:24,316942,28105,109803,514,9829,45,48
2026-04-04 09:22:25,347714,30772,120474,557,10714,46,50
2026-04-04 09:22:26,379285,31571,131408,609,10986,51,52
2026-04-04 09:22:28,411566,32281,142592,664,11239,50,55
2026-04-04 09:22:29,444252,32686,153933,719,11396,53,57
2026-04-04 09:22:30,477432,33180,165458,771,11577,58,59
2026-04-04 09:22:31,512351,34919,177575,831,12177,59,61
2026-04-04 09:22:32,548477,36126,190117,881,12592,59,63
2026-04-04 09:22:33,585718,37241,203016,937,12955,59,65
2026-04-04 09:22:34,622823,37105,215944,983,12974,58,66
2026-04-04 09:22:35,662078,39255,229545,1046,13664,63,66
2026-04-04 09:22:36,702061,39983,243401,1101,13911,64,66
2026-04-04 09:22:37,742423,40362,257391,1177,14066,58,66
2026-04-04 09:22:38,784072,41649,271849,1241,14522,59,66
2026-04-04 09:22:39,826294,42222,286511,1306,14727,62,66
2026-04-04 09:22:41,869331,43037,301442,1385,15010,58,67
2026-04-04 09:22:42,914006,44675,316904,1460,15537,61,66
2026-04-04 09:22:43,958717,44711,332392,1524,15552,57,66
2026-04-04 09:22:44,1003720,45003,347974,1588,15646,57,66
2026-04-04 09:22:45,1048421,44701,363513,1649,15600,58,66
2026-04-04 09:22:46,1094085,45664,379345,1707,15890,62,66
2026-04-04 09:22:47,1140651,46566,395496,1786,16230,57,66
2026-04-04 09:22:48,1186154,45503,411258,1845,15821,60,66
2026-04-04 09:22:49,1230742,44588,426747,1907,15551,61,66
2026-04-04 09:22:50,1275399,44657,442252,1983,15581,60,66
2026-04-04 09:22:51,1319802,44403,457653,2058,15476,61,66
2026-04-04 09:22:53,1366046,46244,473697,2132,16118,62,67
2026-04-04 09:22:54,1412336,46290,489757,2215,16143,60,66
2026-04-04 09:22:55,1458514,46178,505794,2273,16095,57,66
2026-04-04 09:22:56,1505970,47456,522233,2338,16504,60,66
2026-04-04 09:22:57,1552300,46330,538307,2404,16140,61,66
2026-04-04 09:22:58,1598997,46697,554501,2473,16263,61,66
2026-04-04 09:22:59,1645233,46236,570605,2531,16162,59,66
2026-04-04 09:23:00,1691293,46060,586587,2616,16067,59,66
2026-04-04 09:23:01,1738532,47239,602964,2683,16444,62,66
2026-04-04 09:23:02,1783876,45344,618723,2753,15829,65,66
2026-04-04 09:23:03,1830249,46373,634813,2811,16148,59,66
2026-04-04 09:23:05,1877399,47150,651187,2876,16439,63,67
2026-04-04 09:23:06,1924696,47297,667609,2953,16499,57,66
2026-04-04 09:23:07,1972402,47706,684159,3035,16632,60,66
2026-04-04 09:23:08,2019976,47574,700678,3112,16596,59,66
2026-04-04 09:23:09,2068739,48763,717634,3180,17024,62,66
2026-04-04 09:23:10,2117454,48715,734498,3263,16947,59,66
2026-04-04 09:23:11,2165134,47680,751061,3338,16638,61,66
2026-04-04 09:23:12,2214379,49245,768130,3416,17147,63,66
2026-04-04 09:23:13,2262178,47799,784738,3474,16666,60,66
2026-04-04 09:23:14,2310382,48204,801491,3552,16831,58,66
2026-04-04 09:23:16,2360023,49641,818721,3624,17302,60,66
2026-04-04 09:23:17,2410390,50367,836188,3708,17551,61,67
2026-04-04 09:23:18,2459731,49341,853325,3786,17215,60,66
2026-04-04 09:23:19,2512740,53009,871713,3864,18466,63,66
2026-04-04 09:23:20,2566010,53270,890205,3936,18564,60,66
2026-04-04 09:23:21,2619168,53158,908655,4037,18551,54,66
2026-04-04 09:23:22,2673310,54142,927389,4138,18835,60,66
2026-04-04 09:23:23,2727337,54027,946133,4229,18835,55,66
2026-04-04 09:23:24,2781226,53889,964818,4314,18770,59,66
2026-04-04 09:23:25,2833450,52224,982952,4398,18218,60,66
2026-04-04 09:23:26,2886402,52952,1001321,4470,18441,62,66
2026-04-04 09:23:28,2938719,52317,1019508,4550,18267,62,66
2026-04-04 09:23:29,2989972,51253,1037331,4633,17906,58,66
2026-04-04 09:23:30,3042620,52648,1055634,4700,18370,57,66
2026-04-04 09:23:31,3095496,52876,1073979,4783,18428,62,66
2026-04-04 09:23:32,3149116,53620,1092533,4878,18649,65,66
2026-04-04 09:23:33,3201489,52373,1110747,4950,18286,56,66
2026-04-04 09:23:34,3255607,54118,1129516,5036,18855,60,66
2026-04-04 09:23:35,3308550,52943,1147891,5102,18441,59,66
2026-04-04 09:23:36,3362612,54062,1166611,5187,18805,62,66
2026-04-04 09:23:37,3416498,53886,1185283,5265,18750,56,66
2026-04-04 09:23:39,3470212,53714,1203888,5358,18698,53,67
2026-04-04 09:23:40,3524502,54290,1222700,5447,18901,59,66
2026-04-04 09:23:41,3579332,54830,1241713,5532,19098,57,66
2026-04-04 09:23:42,3633919,54587,1260671,5631,19057,54,66
2026-04-04 09:23:43,3688595,54676,1279629,5719,19046,62,66
2026-04-04 09:23:44,3743161,54566,1298575,5793,19020,58,66
2026-04-04 09:23:45,3797403,54242,1317412,5883,18927,56,66
2026-04-04 09:23:46,3852311,54908,1336470,5956,19131,65,66
2026-04-04 09:23:47,3906684,54373,1355370,6042,18986,56,66
2026-04-04 09:23:48,3960907,54223,1374216,6126,18930,57,66
2026-04-04 09:23:50,4016266,55359,1393392,6202,19252,56,66
2026-04-04 09:23:51,4071773,55507,1412599,6291,19296,63,66
2026-04-04 09:23:52,4127443,55670,1431883,6364,19357,61,66
2026-04-04 09:23:53,4183006,55563,1451094,6444,19291,59,66
2026-04-04 09:23:54,4238196,55190,1470265,6538,19265,57,66
2026-04-04 09:23:55,4291892,53696,1488931,6635,18763,60,66
2026-04-04 09:23:56,4346564,54672,1507907,6729,19070,62,66
2026-04-04 09:23:57,4402220,55656,1527180,6807,19351,57,66
2026-04-04 09:23:58,4457595,55375,1546388,6888,19289,62,66
2026-04-04 09:24:00,4512659,55064,1565510,6962,19196,58,66
2026-04-04 09:24:01,4568142,55483,1584735,7049,19312,59,67
2026-04-04 09:24:02,4623428,55286,1603945,7118,19279,64,66
2026-04-04 09:24:03,4678375,54947,1623052,7182,19171,58,66
2026-04-04 09:24:04,4733627,55252,1642267,7281,19314,59,66
2026-04-04 09:24:05,4789359,55732,1661603,7359,19414,51,66
2026-04-04 09:24:06,4844923,55564,1680891,7431,19360,58,66
2026-04-04 09:24:07,4901200,56277,1700401,7505,19584,53,66
2026-04-04 09:24:08,4956852,55652,1719712,7584,19390,62,66
2026-04-04 09:24:09,5013258,56406,1739234,7659,19597,60,66
2026-04-04 09:24:11,5068665,55407,1758471,7752,19330,52,67
2026-04-04 09:24:12,5124048,55383,1777700,7841,19318,57,66
2026-04-04 09:24:13,5180128,56080,1797095,7928,19482,58,66
2026-04-04 09:24:14,5235052,54924,1816174,8016,19167,57,66
2026-04-04 09:24:15,5291321,56269,1835648,8110,19568,57,66
2026-04-04 09:24:16,5346145,54824,1854680,8204,19126,57,66
2026-04-04 09:24:17,5402366,56221,1874128,8305,19549,60,66
2026-04-04 09:24:18,5458661,56295,1893644,8388,19599,61,66
2026-04-04 09:24:19,5514558,55897,1913022,8477,19467,61,66
2026-04-04 09:24:20,5570736,56178,1932486,8552,19539,58,66
2026-04-04 09:24:22,5626582,55846,1951848,8638,19448,54,66
2026-04-04 09:24:23,5682738,56156,1971300,8736,19550,59,67
2026-04-04 09:24:24,5738540,55802,1990656,8816,19436,60,66
2026-04-04 09:24:25,5795134,56594,2010274,8888,19690,56,66
2026-04-04 09:24:26,5851667,56533,2029885,8991,19714,61,66
2026-04-04 09:24:27,5907867,56200,2049363,9072,19559,58,66
2026-04-04 09:24:28,5964491,56624,2068999,9134,19698,60,66
2026-04-04 09:24:29,6020859,56368,2088560,9210,19637,55,66
2026-04-04 09:24:30,6077732,56873,2108265,9293,19788,60,66
2026-04-04 09:24:31,6133559,55827,2127623,9380,19445,58,66
2026-04-04 09:24:33,6189228,55669,2146933,9469,19399,63,67
2026-04-04 09:24:34,6246212,56984,2166672,9566,19836,60,66
2026-04-04 09:24:35,6302344,56132,2186148,9638,19548,61,66
2026-04-04 09:24:36,6358532,56188,2205649,9724,19587,57,66
2026-04-04 09:24:37,6414918,56386,2225179,9815,19621,61,66
2026-04-04 09:24:38,6470919,56001,2244635,9892,19533,62,66
2026-04-04 09:24:39,6526933,56014,2264064,9993,19530,60,66
2026-04-04 09:24:40,6583596,56663,2283737,10080,19760,57,66
2026-04-04 09:24:41,6640372,56776,2303423,10162,19768,60,66
2026-04-04 09:24:42,6696972,56600,2323058,10246,19719,57,66
2026-04-04 09:24:44,6753200,56228,2342532,10339,19567,57,66
2026-04-04 09:24:45,6809100,55900,2361928,10429,19486,62,67
2026-04-04 09:24:46,6864930,55830,2381305,10511,19459,60,66
2026-04-04 09:24:47,6920646,55716,2400670,10593,19447,61,66
2026-04-04 09:24:48,6977355,56709,2420311,10675,19723,54,66
2026-04-04 09:24:49,7033436,56081,2439738,10770,19522,60,66
2026-04-04 09:24:50,7090807,57371,2459620,10854,19966,55,66
2026-04-04 09:24:51,7147440,56633,2479270,10932,19728,60,66
2026-04-04 09:24:52,7204104,56664,2498916,11007,19721,57,66
2026-04-04 09:24:53,7259610,55506,2518189,11093,19359,59,66
2026-04-04 09:24:55,7315838,56228,2537727,11187,19632,61,67
2026-04-04 09:24:56,7371712,55874,2557112,11282,19480,60,66
2026-04-04 09:24:57,7427204,55492,2576342,11371,19319,58,66
2026-04-04 09:24:58,7482858,55654,2595670,11448,19405,59,66
2026-04-04 09:24:59,7539546,56688,2615336,11532,19750,55,66
2026-04-04 09:25:00,7596224,56678,2635011,11599,19742,62,66
2026-04-04 09:25:01,7653057,56833,2654738,11668,19796,57,66
2026-04-04 09:25:02,7709633,56576,2674369,11751,19714,59,66
2026-04-04 09:25:03,7765885,56252,2693898,11834,19612,61,66
2026-04-04 09:25:04,7821376,55491,2713137,11916,19321,62,66
2026-04-04 09:25:06,7877328,55952,2732581,11997,19525,59,66
2026-04-04 09:25:07,7933359,56031,2752044,12076,19542,62,67
2026-04-04 09:25:08,7990274,56915,2771792,12157,19829,59,66
2026-04-04 09:25:09,8047024,56750,2791492,12246,19789,57,66
2026-04-04 09:25:10,8103713,56689,2811157,12334,19753,59,66
2026-04-04 09:25:11,8159208,55495,2830444,12410,19363,56,66
2026-04-04 09:25:12,8215826,56618,2850091,12505,19742,60,66
2026-04-04 09:25:13,8272672,56846,2869818,12578,19800,61,66
2026-04-04 09:25:14,8329340,56668,2889495,12662,19761,59,66
2026-04-04 09:25:15,8385711,56371,2909066,12749,19658,63,66
2026-04-04 09:25:16,8442668,56957,2928804,12819,19808,60,66
2026-04-04 09:25:18,8498841,56173,2948258,12927,19562,61,66
2026-04-04 09:25:19,8556369,57528,2968203,13012,20030,64,66
2026-04-04 09:25:20,8613584,57215,2988061,13105,19951,61,66
2026-04-04 09:25:21,8670432,56848,3007754,13187,19775,55,66
2026-04-04 09:25:22,8727130,56698,3027418,13279,19756,58,66
2026-04-04 09:25:23,8784592,57462,3047312,13368,19983,56,66
2026-04-04 09:25:24,8841508,56916,3067050,13467,19837,54,66
2026-04-04 09:25:25,8897813,56305,3086575,13551,19609,60,66
2026-04-04 09:25:26,8954974,57161,3106408,13641,19923,57,66
2026-04-04 09:25:28,9010799,55825,3125775,13733,19459,57,66
2026-04-04 09:25:29,9067687,56888,3145489,13834,19815,62,67
2026-04-04 09:25:30,9124980,57293,3165369,13908,19954,56,66
