timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected
2026-04-04 10:04:03,100,0,0,0,0,2,1
2026-04-04 10:04:04,191,91,22,0,22,3,3
2026-04-04 10:04:05,834,643,238,2,218,5,5
2026-04-04 10:04:06,2310,1476,742,4,506,6,7
2026-04-04 10:04:07,4786,2476,1602,9,865,8,9
2026-04-04 10:04:08,8828,4042,2989,15,1393,10,11
2026-04-04 10:04:09,13639,4811,4655,21,1672,14,14
2026-04-04 10:04:10,20165,6526,6916,31,2271,16,16
2026-04-04 10:04:11,28039,7874,9643,39,2735,18,18
2026-04-04 10:04:12,36707,8668,12643,55,3016,20,20
2026-04-04 10:04:13,46667,9960,16089,77,3468,22,22
2026-04-04 10:04:14,57734,11067,19918,100,3852,24,24
2026-04-04 10:04:15,71428,13694,24652,123,4757,26,26
2026-04-04 10:04:17,86647,15219,29912,151,5288,29,29
2026-04-04 10:04:18,103196,16549,35628,182,5747,30,31
2026-04-04 10:04:19,120526,17330,41625,211,6026,32,33
2026-04-04 10:04:20,139006,18480,48032,246,6442,33,35
2026-04-04 10:04:21,159084,20078,54990,273,6985,34,37
2026-04-04 10:04:22,180610,21526,62455,300,7492,36,39
2026-04-04 10:04:23,203066,22456,70244,335,7824,38,41
2026-04-04 10:04:24,226504,23438,78353,375,8149,43,44
2026-04-04 10:04:25,251261,24757,86942,412,8626,45,46
2026-04-04 10:04:26,277168,25907,95944,451,9041,35,48
2026-04-04 10:04:27,304809,27641,105535,493,9633,48,50
2026-04-04 10:04:28,333622,28813,115539,534,10045,50,52
2026-04-04 10:04:29,363763,30141,126018,574,10519,53,54
2026-04-04 10:04:31,393994,30231,136511,618,10537,55,57
2026-04-04 10:04:32,425629,31635,147474,674,11019,55,59
2026-04-04 10:04:33,458904,33275,158999,735,11586,56,61
2026-04-04 10:04:34,493540,34636,171041,778,12085,60,63
2026-04-04 10:04:35,529017,35477,183324,846,12351,65,65
2026-04-04 10:04:36,565117,36100,195859,892,12581,63,66
2026-04-04 10:04:37,601749,36632,208593,940,12782,65,66
2026-04-04 10:04:38,639109,37360,221581,993,13041,63,66
2026-04-04 10:04:39,677985,38876,235064,1052,13542,66,66
2026-04-04 10:04:40,716930,38945,248589,1109,13582,62,66
2026-04-04 10:04:41,756236,39306,262230,1171,13703,65,66
2026-04-04 10:04:42,795426,39190,275860,1237,13696,66,66
2026-04-04 10:04:44,835796,40370,289782,1300,13985,63,66
2026-04-04 10:04:45,876937,41141,304022,1358,14298,65,66
2026-04-04 10:04:46,918185,41248,318343,1424,14387,58,67
2026-04-04 10:04:47,959416,41231,332645,1481,14359,63,66
2026-04-04 10:04:48,995351,35935,345136,1543,12553,61,66
2026-04-04 10:04:49,1032350,36999,357937,1606,12864,64,66
2026-04-04 10:04:50,1070564,38214,371185,1657,13299,66,66
2026-04-04 10:04:51,1108961,38397,384505,1712,13375,54,66
2026-04-04 10:04:52,1147632,38671,397900,1779,13462,58,66
2026-04-04 10:04:53,1186466,38834,411381,1855,13557,61,66
2026-04-04 10:04:54,1225669,39203,424955,1930,13649,65,66
2026-04-04 10:04:56,1262344,36675,437690,1992,12797,66,66
2026-04-04 10:04:57,1299439,37095,450481,2048,12847,61,66
2026-04-04 10:04:58,1338465,39026,463986,2112,13569,63,67
2026-04-04 10:04:59,1378149,39684,477773,2179,13854,64,66
2026-04-04 10:05:00,1417959,39810,491569,2239,13856,63,66
2026-04-04 10:05:01,1458034,40075,505489,2297,13978,64,66
2026-04-04 10:05:02,1499262,41228,519776,2366,14356,62,66
2026-04-04 10:05:03,1540454,41192,534059,2440,14357,53,66
2026-04-04 10:05:04,1581204,40750,548193,2515,14209,65,66
2026-04-04 10:05:05,1622110,40906,562412,2574,14278,64,66
2026-04-04 10:05:06,1663503,41393,576747,2643,14404,64,66
2026-04-04 10:05:07,1703156,39653,590565,2706,13881,66,66
2026-04-04 10:05:09,1741947,38791,604006,2764,13499,66,66
2026-04-04 10:05:10,1783870,41923,618479,2830,14539,65,67
2026-04-04 10:05:11,1826081,42211,633127,2904,14722,57,66
2026-04-04 10:05:12,1868732,42651,647922,2959,14850,61,66
2026-04-04 10:05:13,1911145,42413,662638,3025,14782,65,66
2026-04-04 10:05:14,1953542,42397,677378,3080,14795,63,66
2026-04-04 10:05:15,1995815,42273,692068,3146,14756,62,66
2026-04-04 10:05:16,2037748,41933,706649,3200,14635,62,66
2026-04-04 10:05:17,2081107,43359,721676,3271,15098,64,66
2026-04-04 10:05:18,2121429,40322,735657,3335,14045,63,66
2026-04-04 10:05:19,2161338,39909,749460,3397,13865,58,66
2026-04-04 10:05:21,2197802,36464,762160,3461,12764,66,66
2026-04-04 10:05:22,2234465,36663,774932,3501,12812,66,66
2026-04-04 10:05:23,2272336,37871,788032,3559,13158,63,66
2026-04-04 10:05:24,2313058,40722,802202,3615,14226,61,66
2026-04-04 10:05:25,2354096,41038,816440,3669,14292,61,66
2026-04-04 10:05:26,2394961,40865,830622,3734,14247,62,66
2026-04-04 10:05:27,2435780,40819,844754,3792,14190,66,66
2026-04-04 10:05:28,2476269,40489,858820,3850,14124,61,66
2026-04-04 10:05:29,2516747,40478,872878,3911,14119,64,66
2026-04-04 10:05:30,2557692,40945,887076,3984,14271,63,66
2026-04-04 10:05:31,2598684,40992,901310,4047,14297,65,66
2026-04-04 10:05:32,2638006,39322,914968,4117,13728,66,66
2026-04-04 10:05:34,2675691,37685,928053,4163,13131,66,66
2026-04-04 10:05:35,2712921,37230,940992,4217,12993,66,66
2026-04-04 10:05:36,2754042,41121,955196,4280,14267,63,66
2026-04-04 10:05:37,2795236,41194,969506,4343,14373,61,66
2026-04-04 10:05:38,2837001,41765,984001,4402,14554,65,66
2026-04-04 10:05:39,2877990,40989,998227,4469,14293,59,66
2026-04-04 10:05:40,2920189,42199,1012848,4538,14690,60,66
2026-04-04 10:05:41,2961343,41154,1027109,4595,14318,63,66
2026-04-04 10:05:42,3002122,40779,1041297,4660,14253,63,66
2026-04-04 10:05:43,3043441,41319,1055649,4724,14416,61,66
2026-04-04 10:05:44,3084500,41059,1069918,4782,14327,65,66
2026-04-04 10:05:46,3122101,37601,1082941,4830,13071,65,66
2026-04-04 10:05:47,3160018,37917,1096147,4882,13258,66,67
2026-04-04 10:05:48,3197707,37689,1109190,4938,13099,65,66
2026-04-04 10:05:49,3237482,39775,1122936,5022,13830,57,66
2026-04-04 10:05:50,3277180,39698,1136699,5085,13826,61,66
2026-04-04 10:05:51,3318007,40827,1150842,5167,14225,65,66
2026-04-04 10:05:52,3358269,40262,1164818,5225,14034,62,66
2026-04-04 10:05:53,3398504,40235,1178769,5273,13999,58,66
2026-04-04 10:05:54,3439051,40547,1192820,5325,14103,64,66
2026-04-04 10:05:55,3479633,40582,1206874,5392,14121,59,66
2026-04-04 10:05:56,3520864,41231,1221149,5451,14334,63,66
2026-04-04 10:05:57,3560076,39212,1234770,5510,13680,66,66
2026-04-04 10:05:59,3596436,36360,1247391,5570,12681,66,67
2026-04-04 10:06:00,3632886,36450,1260015,5615,12669,66,66
2026-04-04 10:06:01,3670420,37534,1272979,5674,13023,62,66
2026-04-04 10:06:02,3711395,40975,1287191,5730,14268,64,66
2026-04-04 10:06:03,3752205,40810,1301333,5790,14202,60,66
2026-04-04 10:06:04,3793278,41073,1315574,5848,14299,63,66
2026-04-04 10:06:05,3833965,40687,1329667,5916,14161,63,66
2026-04-04 10:06:06,3874970,41005,1343881,5968,14266,64,66
