timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected
2026-04-04 10:37:59,141,0,0,0,0,2,1
2026-04-04 10:38:00,218,77,18,0,18,3,3
2026-04-04 10:38:01,994,776,278,4,264,5,5
2026-04-04 10:38:02,2847,1853,909,7,634,7,7
2026-04-04 10:38:03,5872,3025,1959,9,1052,9,10
2026-04-04 10:38:04,10706,4834,3619,19,1670,11,12
2026-04-04 10:38:06,16264,5558,5541,29,1932,13,14
2026-04-04 10:38:07,23933,7669,8193,37,2660,16,16
2026-04-04 10:38:08,32454,8521,11150,46,2966,17,18
2026-04-04 10:38:09,42584,10130,14652,65,3521,20,20
2026-04-04 10:38:10,54269,11685,18698,81,4062,21,22
2026-04-04 10:38:11,67360,13091,23251,101,4573,23,24
2026-04-04 10:38:12,81810,14450,28255,121,5024,26,27
2026-04-04 10:38:13,98229,16419,33934,147,5705,29,29
2026-04-04 10:38:14,116093,17864,40114,171,6204,29,31
2026-04-04 10:38:15,135072,18979,46666,203,6584,32,33
2026-04-04 10:38:16,155235,20163,53642,223,6996,35,35
2026-04-04 10:38:17,175938,20703,60805,247,7187,35,37
2026-04-04 10:38:18,198562,22624,68645,278,7871,38,39
2026-04-04 10:38:19,222870,24308,77061,315,8453,38,43
2026-04-04 10:38:21,248505,25635,85942,353,8919,41,44
2026-04-04 10:38:22,275392,26887,95253,401,9359,46,46
2026-04-04 10:38:23,302600,27208,104690,451,9487,47,48
2026-04-04 10:38:24,331512,28912,114694,497,10050,49,50
2026-04-04 10:38:25,361952,30440,125234,541,10584,50,52
2026-04-04 10:38:26,393509,31557,136175,582,10982,53,54
2026-04-04 10:38:27,425133,31624,147139,630,11012,54,57
2026-04-04 10:38:28,458676,33543,158753,686,11670,58,59
2026-04-04 10:38:29,493461,34785,170827,736,12124,59,61
2026-04-04 10:38:30,529325,35864,183217,807,12461,63,63
2026-04-04 10:38:31,566290,36965,196027,861,12864,64,65
2026-04-04 10:38:32,603860,37570,209068,922,13102,65,66
2026-04-04 10:38:34,643891,40031,222919,986,13915,63,66
2026-04-04 10:38:35,684962,41071,237154,1062,14311,59,66
2026-04-04 10:38:36,722695,37733,250246,1129,13159,61,66
2026-04-04 10:38:37,760997,38302,263584,1179,13388,62,66
2026-04-04 10:38:38,800138,39141,277159,1227,13623,63,66
2026-04-04 10:38:39,839138,39000,290686,1294,13594,65,66
2026-04-04 10:38:40,876985,37847,303842,1344,13206,65,66
2026-04-04 10:38:41,915059,38074,317050,1403,13267,61,66
2026-04-04 10:38:42,952334,37275,329982,1468,12997,62,66
2026-04-04 10:38:43,987304,34970,342123,1527,12200,66,66
2026-04-04 10:38:44,1022459,35155,354318,1577,12245,66,66
2026-04-04 10:38:46,1059842,37383,367245,1631,12981,62,66
2026-04-04 10:38:47,1098564,38722,380698,1697,13519,66,66
2026-04-04 10:38:48,1137906,39342,394322,1755,13682,62,66
2026-04-04 10:38:49,1178137,40231,408261,1814,13998,65,66
2026-04-04 10:38:50,1218206,40069,422126,1875,13926,63,66
2026-04-04 10:38:51,1257961,39755,435928,1928,13855,65,66
2026-04-04 10:38:52,1298045,40084,449836,1995,13975,63,66
2026-04-04 10:38:53,1338312,40267,463833,2055,14057,65,66
2026-04-04 10:38:54,1378805,40493,477869,2108,14089,63,66
2026-04-04 10:38:55,1418006,39201,491540,2167,13730,66,66
2026-04-04 10:38:56,1454590,36584,504207,2226,12726,66,66
2026-04-04 10:38:57,1494486,39896,518008,2292,13867,59,67
2026-04-04 10:38:59,1534352,39866,531823,2359,13882,65,66
2026-04-04 10:39:00,1574329,39977,545679,2412,13909,62,66
2026-04-04 10:39:01,1615126,40797,559826,2478,14213,65,66
2026-04-04 10:39:02,1655783,40657,573921,2542,14159,64,66
2026-04-04 10:39:03,1696505,40722,588054,2595,14186,62,66
2026-04-04 10:39:04,1737902,41397,602421,2654,14426,65,66
2026-04-04 10:39:05,1779963,42061,617031,2716,14672,58,66
2026-04-04 10:39:06,1817913,37950,630190,2772,13215,62,66
2026-04-04 10:39:07,1856726,38813,643673,2832,13543,58,66
2026-04-04 10:39:08,1891268,34542,655690,2884,12069,66,66
2026-04-04 10:39:09,1926296,35028,667792,2945,12163,67,67
2026-04-04 10:39:11,1962535,36239,680330,3000,12593,60,66
2026-04-04 10:39:12,2002530,39995,694159,3059,13888,61,66
2026-04-04 10:39:13,2042465,39935,708000,3122,13904,64,66
2026-04-04 10:39:14,2081385,38920,721497,3177,13552,60,66
2026-04-04 10:39:15,2120693,39308,735112,3234,13672,66,66
2026-04-04 10:39:16,2159281,38588,748516,3292,13462,66,66
2026-04-04 10:39:17,2198911,39630,762224,3351,13767,58,66
2026-04-04 10:39:18,2237589,38678,775635,3411,13471,64,66
2026-04-04 10:39:19,2276569,38980,789151,3480,13585,58,66
2026-04-04 10:39:20,2314240,37671,802268,3546,13183,66,66
2026-04-04 10:39:21,2351404,37164,815155,3610,12951,66,67
2026-04-04 10:39:22,2388296,36892,827902,3674,12811,62,66
2026-04-04 10:39:24,2427983,39687,841656,3728,13808,65,66
2026-04-04 10:39:25,2468763,40780,855750,3803,14169,60,66
2026-04-04 10:39:26,2509861,41098,870004,3860,14311,59,66
2026-04-04 10:39:27,2550863,41002,884216,3920,14272,61,66
2026-04-04 10:39:28,2590807,39944,898069,3984,13917,62,66
2026-04-04 10:39:29,2631040,40233,912016,4047,14010,61,66
2026-04-04 10:39:30,2671225,40185,925994,4103,14034,64,66
2026-04-04 10:39:31,2712170,40945,940170,4159,14232,60,66
2026-04-04 10:39:32,2752444,40274,954129,4226,14026,66,66
2026-04-04 10:39:33,2789209,36765,966912,4295,12852,66,66
2026-04-04 10:39:34,2826159,36950,979782,4337,12912,66,66
2026-04-04 10:39:36,2863283,37124,992631,4404,12916,66,66
2026-04-04 10:39:37,2899749,36466,1005213,4457,12635,61,66
2026-04-04 10:39:38,2939074,39325,1018838,4515,13683,60,66
2026-04-04 10:39:39,2978720,39646,1032574,4569,13790,63,66
2026-04-04 10:39:40,3018622,39902,1046420,4626,13903,65,66
2026-04-04 10:39:41,3058182,39560,1060195,4678,13827,63,66
2026-04-04 10:39:42,3098090,39908,1074047,4730,13904,66,66
2026-04-04 10:39:43,3136429,38339,1087374,4802,13399,56,66
2026-04-04 10:39:44,3174950,38521,1100721,4882,13427,62,66
2026-04-04 10:39:45,3213633,38683,1114197,4924,13518,66,66
2026-04-04 10:39:46,3249565,35932,1126665,4983,12527,66,66
2026-04-04 10:39:47,3285391,35826,1139085,5036,12473,66,67
2026-04-04 10:39:49,3321065,35674,1151448,5083,12410,66,66
2026-04-04 10:39:50,3359874,38809,1164850,5151,13470,64,66
2026-04-04 10:39:51,3399209,39335,1178497,5203,13699,60,66
2026-04-04 10:39:52,3438578,39369,1192178,5268,13746,58,66
2026-04-04 10:39:53,3478735,40157,1206083,5336,13973,66,66
2026-04-04 10:39:54,3517490,38755,1219560,5394,13535,63,66
2026-04-04 10:39:55,3556854,39364,1233237,5458,13741,66,66
2026-04-04 10:39:56,3596372,39518,1246963,5513,13781,62,66
2026-04-04 10:39:57,3636412,40040,1260860,5572,13956,61,66
2026-04-04 10:39:58,3674766,38354,1274194,5630,13392,66,66
2026-04-04 10:39:59,3710604,35838,1286637,5680,12493,66,67
2026-04-04 10:40:00,3746518,35914,1299108,5741,12532,66,66
