timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected
2026-04-04 11:16:37,207,0,0,0,0,1,1
2026-04-04 11:16:38,304,97,25,0,25,2,3
2026-04-04 11:16:39,1041,737,276,1,252,4,5
2026-04-04 11:16:40,3026,1985,954,4,681,6,7
2026-04-04 11:16:41,6342,3316,2096,9,1147,8,9
2026-04-04 11:16:42,11358,5016,3815,20,1730,10,12
2026-04-04 11:16:43,18418,7060,6250,34,2449,13,14
2026-04-04 11:16:44,26933,8515,9174,46,2936,14,16
2026-04-04 11:16:45,37078,10145,12692,67,3539,17,19
2026-04-04 11:16:47,48495,11417,16646,88,3975,19,20
2026-04-04 11:16:48,61802,13307,21262,107,4635,21,22
2026-04-04 11:16:49,76604,14802,26391,128,5150,23,24
2026-04-04 11:16:50,92798,16194,32013,152,5646,25,26
2026-04-04 11:16:51,110552,17754,38153,187,6175,28,29
2026-04-04 11:16:52,130024,19472,44905,216,6781,30,31
2026-04-04 11:16:53,151218,21194,52272,246,7397,28,33
2026-04-04 11:16:54,174332,23114,60281,282,8045,30,35
2026-04-04 11:16:55,198574,24242,68705,315,8457,34,37
2026-04-04 11:16:56,224395,25821,77640,360,8980,34,39
2026-04-04 11:16:57,251447,27052,87002,404,9406,39,41
2026-04-04 11:16:58,280479,29032,97059,456,10109,42,44
2026-04-04 11:16:59,310938,30459,107613,511,10609,43,46
2026-04-04 11:17:01,343179,32241,118776,566,11218,43,48
2026-04-04 11:17:02,377633,34454,130707,619,11984,49,50
2026-04-04 11:17:03,412912,35279,142920,663,12257,50,52
2026-04-04 11:17:04,448888,35976,155409,715,12541,49,54
2026-04-04 11:17:05,486438,37550,168462,769,13107,49,57
2026-04-04 11:17:06,525199,38761,181914,826,13509,52,59
2026-04-04 11:17:07,565602,40403,195908,898,14066,56,61
2026-04-04 11:17:08,607142,41540,210311,967,14472,59,63
2026-04-04 11:17:09,649957,42815,225156,1035,14913,56,65
2026-04-04 11:17:10,694293,44336,240543,1106,15458,57,66
2026-04-04 11:17:11,739559,45266,256271,1171,15793,60,66
2026-04-04 11:17:12,786923,47364,272674,1250,16482,62,66
2026-04-04 11:17:14,834945,48022,289309,1332,16717,63,67
2026-04-04 11:17:15,881979,47034,305593,1415,16367,60,66
2026-04-04 11:17:16,929533,47554,322112,1479,16583,61,66
2026-04-04 11:17:17,979092,49559,339296,1551,17256,58,66
2026-04-04 11:17:18,1029614,50522,356830,1628,17611,63,66
2026-04-04 11:17:19,1079943,50329,374300,1714,17556,59,66
2026-04-04 11:17:20,1131426,51483,392183,1791,17960,58,66
2026-04-04 11:17:21,1183788,52362,410316,1872,18214,60,66
2026-04-04 11:17:22,1235808,52020,428354,1959,18125,57,66
2026-04-04 11:17:23,1288146,52338,446544,2028,18259,57,66
2026-04-04 11:17:25,1341612,53466,465099,2108,18635,60,66
2026-04-04 11:17:26,1395523,53911,483813,2189,18795,61,66
2026-04-04 11:17:27,1449831,54308,502678,2271,18947,63,66
2026-04-04 11:17:28,1504112,54281,521511,2340,18902,63,66
2026-04-04 11:17:29,1557910,53798,540178,2426,18753,62,66
2026-04-04 11:17:30,1610990,53080,558573,2513,18482,65,66
2026-04-04 11:17:31,1662979,51989,576614,2590,18118,65,66
2026-04-04 11:17:32,1714980,52001,594647,2689,18132,60,66
2026-04-04 11:17:33,1767626,52646,612947,2770,18381,60,66
2026-04-04 11:17:34,1820579,52953,631332,2857,18472,62,66
2026-04-04 11:17:35,1874305,53726,649932,2930,18673,59,67
2026-04-04 11:17:37,1925915,51610,667850,3018,18006,62,66
2026-04-04 11:17:38,1979225,53310,686329,3104,18565,61,66
2026-04-04 11:17:39,2032191,52966,704732,3178,18477,63,66
2026-04-04 11:17:40,2085982,53791,723402,3255,18747,61,66
2026-04-04 11:17:41,2141029,55047,742536,3325,19204,59,66
2026-04-04 11:17:42,2196305,55276,761696,3406,19241,64,66
2026-04-04 11:17:43,2252154,55849,781045,3491,19434,60,66
2026-04-04 11:17:44,2306860,54706,800013,3583,19060,61,66
2026-04-04 11:17:45,2362591,55731,819327,3679,19410,62,66
2026-04-04 11:17:46,2418447,55856,838689,3767,19450,62,66
2026-04-04 11:17:48,2474395,55948,858134,3837,19515,64,67
2026-04-04 11:17:49,2530949,56554,877718,3936,19683,60,66
2026-04-04 11:17:50,2584201,53252,896155,4027,18528,57,66
2026-04-04 11:17:51,2637512,53311,914665,4103,18586,61,66
2026-04-04 11:17:52,2692863,55351,933862,4180,19274,61,66
2026-04-04 11:17:53,2749368,56505,953455,4267,19680,62,66
2026-04-04 11:17:54,2805152,55784,972843,4357,19478,57,66
2026-04-04 11:17:55,2861382,56230,992320,4441,19561,61,66
2026-04-04 11:17:56,2916921,55539,1011581,4514,19334,63,66
2026-04-04 11:17:57,2972137,55216,1030721,4590,19216,62,66
2026-04-04 11:17:59,3027042,54905,1049753,4681,19123,61,66
2026-04-04 11:18:00,3081637,54595,1068714,4771,19051,65,66
2026-04-04 11:18:01,3138033,56396,1088249,4864,19628,62,66
2026-04-04 11:18:02,3193803,55770,1107624,4929,19440,62,66
2026-04-04 11:18:03,3249981,56178,1127105,5024,19576,59,66
2026-04-04 11:18:04,3305923,55942,1146515,5107,19493,57,66
2026-04-04 11:18:05,3361381,55458,1165752,5198,19328,60,66
2026-04-04 11:18:06,3416906,55525,1185042,5265,19357,59,66
2026-04-04 11:18:07,3471645,54739,1204050,5346,19089,57,66
2026-04-04 11:18:08,3526979,55334,1223253,5416,19273,60,66
2026-04-04 11:18:10,3583209,56230,1242789,5494,19614,61,67
2026-04-04 11:18:11,3639483,56274,1262319,5581,19617,58,66
2026-04-04 11:18:12,3696111,56628,1281933,5665,19698,57,66
2026-04-04 11:18:13,3752044,55933,1301354,5752,19508,58,66
2026-04-04 11:18:14,3809890,57846,1321388,5842,20124,59,66
2026-04-04 11:18:15,3866718,56828,1341114,5922,19806,59,66
2026-04-04 11:18:16,3923828,57110,1360928,6014,19906,61,66
2026-04-04 11:18:17,3980662,56834,1380675,6109,19842,60,66
2026-04-04 11:18:18,4038658,57996,1400781,6198,20195,59,66
2026-04-04 11:18:19,4095733,57075,1420581,6288,19890,61,66
2026-04-04 11:18:21,4153643,57910,1440642,6380,20153,64,66
2026-04-04 11:18:22,4211212,57569,1460609,6462,20049,60,66
2026-04-04 11:18:23,4269189,57977,1480732,6543,20204,57,66
2026-04-04 11:18:24,4326221,57032,1500531,6621,19877,60,66
2026-04-04 11:18:25,4384315,58094,1520685,6706,20239,60,66
2026-04-04 11:18:26,4441162,56847,1540428,6770,19807,60,66
2026-04-04 11:18:27,4498223,57061,1560206,6850,19858,62,66
2026-04-04 11:18:28,4555434,57211,1580047,6936,19927,59,66
2026-04-04 11:18:29,4612740,57306,1599900,7010,19927,58,66
2026-04-04 11:18:30,4668079,55339,1619125,7089,19304,60,66
2026-04-04 11:18:32,4722770,54691,1638113,7171,19070,63,67
2026-04-04 11:18:33,4777822,55052,1657237,7242,19195,63,66
2026-04-04 11:18:34,4834432,56610,1676856,7325,19702,61,66
2026-04-04 11:18:35,4891588,57156,1696685,7408,19912,61,66
2026-04-04 11:18:36,4946277,54689,1715615,7492,19014,58,66
2026-04-04 11:18:37,5002298,56021,1735025,7574,19492,62,66
2026-04-04 11:18:38,5057580,55282,1754196,7660,19257,63,66
2026-04-04 11:18:39,5113205,55625,1773481,7741,19366,59,66
2026-04-04 11:18:40,5168081,54876,1792522,7817,19117,64,66
2026-04-04 11:18:41,5224426,56345,1812086,7910,19657,60,66
2026-04-04 11:18:43,5279344,54918,1831104,7998,19106,58,66
2026-04-04 11:18:44,5335007,55663,1850464,8062,19424,57,66
2026-04-04 11:18:45,5389157,54150,1869270,8146,18890,61,66
2026-04-04 11:18:46,5445065,55908,1888677,8235,19496,59,66
2026-04-04 11:18:47,5501191,56126,1908117,8323,19528,62,66
2026-04-04 11:18:48,5556960,55769,1927447,8411,19418,64,66
2026-04-04 11:18:49,5613035,56075,1946956,8477,19575,62,66
