timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected
2026-04-04 11:47:48,86,0,0,0,0,2,1
2026-04-04 11:47:49,137,51,13,0,13,3,3
2026-04-04 11:47:50,940,803,279,1,267,5,5
2026-04-04 11:47:52,2682,1742,874,4,598,7,8
2026-04-04 11:47:53,5557,2875,1875,6,1003,8,9
2026-04-04 11:47:54,9720,4163,3322,9,1450,10,12
2026-04-04 11:47:55,15664,5944,5381,19,2069,14,14
2026-04-04 11:47:56,23009,7345,7908,31,2539,16,16
2026-04-04 11:47:57,31196,8187,10744,42,2847,15,18
2026-04-04 11:47:58,40888,9692,14106,60,3380,20,20
2026-04-04 11:47:59,52041,11153,17979,73,3886,22,22
2026-04-04 11:48:00,65201,13160,22538,89,4575,23,24
2026-04-04 11:48:01,78995,13794,27320,112,4805,26,26
2026-04-04 11:48:02,94270,15275,32611,130,5309,28,29
2026-04-04 11:48:03,111190,16920,38456,146,5861,30,31
2026-04-04 11:48:04,128598,17408,44498,171,6067,33,33
2026-04-04 11:48:05,147377,18779,51031,193,6555,35,35
2026-04-04 11:48:07,168059,20682,58182,218,7176,37,37
2026-04-04 11:48:08,188458,20399,65269,252,7121,38,40
2026-04-04 11:48:09,210827,22369,73011,295,7785,38,41
2026-04-04 11:48:10,233304,22477,80801,332,7827,42,44
2026-04-04 11:48:11,257183,23879,89109,369,8345,43,46
2026-04-04 11:48:12,282522,25339,97865,409,8796,45,48
2026-04-04 11:48:13,308590,26068,106929,445,9100,45,50
2026-04-04 11:48:14,336738,28148,116693,485,9804,52,52
2026-04-04 11:48:15,365673,28935,126713,522,10057,53,54
2026-04-04 11:48:16,394967,29294,136885,566,10216,56,57
2026-04-04 11:48:17,426075,31108,147672,600,10821,56,59
2026-04-04 11:48:18,458311,32236,158842,666,11236,59,61
2026-04-04 11:48:19,490666,32355,170046,705,11243,61,63
2026-04-04 11:48:21,524218,33552,181653,768,11670,65,65
2026-04-04 11:48:22,558639,34421,193600,820,11999,65,66
2026-04-04 11:48:23,593561,34922,205728,876,12184,63,66
2026-04-04 11:48:24,627893,34332,217642,930,11968,65,66
2026-04-04 11:48:25,664634,36741,230377,988,12793,58,66
2026-04-04 11:48:26,702095,37461,243367,1056,13058,63,66
2026-04-04 11:48:27,741294,39199,256943,1106,13626,65,66
2026-04-04 11:48:28,780605,39311,270584,1163,13698,63,66
2026-04-04 11:48:29,820060,39455,284273,1219,13745,62,66
2026-04-04 11:48:30,858947,38887,297780,1274,13562,63,66
2026-04-04 11:48:31,898450,39503,311473,1343,13762,61,66
2026-04-04 11:48:33,938294,39844,325287,1399,13870,64,66
2026-04-04 11:48:34,978056,39762,339060,1466,13840,63,67
2026-04-04 11:48:35,1017103,39047,352627,1534,13635,60,66
2026-04-04 11:48:36,1055936,38833,366130,1602,13571,66,66
2026-04-04 11:48:37,1093544,37608,379188,1651,13107,66,66
2026-04-04 11:48:38,1125190,31646,390193,1686,11040,66,66
2026-04-04 11:48:39,1160603,35413,402438,1730,12289,64,66
2026-04-04 11:48:40,1197760,37157,415334,1784,12950,60,66
2026-04-04 11:48:41,1234385,36625,428046,1837,12765,58,66
2026-04-04 11:48:42,1270286,35901,440506,1895,12518,57,66
2026-04-04 11:48:43,1306140,35854,452955,1949,12503,64,66
2026-04-04 11:48:44,1343103,36963,465763,2006,12865,63,66
