timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected
2026-04-04 14:05:03,64,0,0,0,0,1,1
2026-04-04 14:05:04,161,97,25,0,25,2,3
2026-04-04 14:05:05,922,761,286,0,261,4,5
2026-04-04 14:05:06,2839,1917,943,5,662,6,7
2026-04-04 14:05:07,6220,3381,2109,12,1173,8,9
2026-04-04 14:05:08,11264,5044,3847,20,1746,10,12
2026-04-04 14:05:09,17519,6255,6028,23,2184,12,14
2026-04-04 14:05:10,26073,8554,8986,40,2975,13,16
2026-04-04 14:05:11,36976,10903,12765,53,3792,15,18
2026-04-04 14:05:12,49781,12805,17205,78,4465,18,20
2026-04-04 14:05:13,64532,14751,22313,94,5124,21,22
2026-04-04 14:05:14,80804,16272,27949,122,5664,21,24
2026-04-04 14:05:15,98639,17835,34113,150,6192,23,26
2026-04-04 14:05:16,118197,19558,40873,189,6799,26,29
2026-04-04 14:05:17,139478,21281,48232,233,7403,30,31
2026-04-04 14:05:19,161307,21829,55797,274,7606,31,33
2026-04-04 14:05:20,184653,23346,63883,312,8124,32,35
2026-04-04 14:05:21,209673,25020,72565,344,8714,35,37
2026-04-04 14:05:22,235997,26324,81699,381,9171,31,39
2026-04-04 14:05:23,262919,26922,91040,425,9385,38,42
2026-04-04 14:05:24,291731,28812,101048,477,10060,40,44
2026-04-04 14:05:25,322453,30722,111712,514,10701,42,46
2026-04-04 14:05:26,353977,31524,122634,555,10963,43,48
2026-04-04 14:05:27,385137,31160,133448,596,10855,46,50
2026-04-04 14:05:28,416854,31717,144443,667,11066,42,52
2026-04-04 14:05:29,447172,30318,154985,706,10581,53,54
2026-04-04 14:05:30,479492,32320,166174,765,11248,54,57
2026-04-04 14:05:32,514314,34822,178244,819,12124,56,59
2026-04-04 14:05:33,549772,35458,190555,878,12370,59,61
2026-04-04 14:05:34,585223,35451,202852,931,12350,55,63
2026-04-04 14:05:35,621210,35987,215353,977,12547,62,65
2026-04-04 14:05:36,661408,40198,229332,1039,14041,63,66
2026-04-04 14:05:37,701329,39921,243175,1109,13913,60,66
2026-04-04 14:05:38,743984,42655,258005,1164,14885,64,66
2026-04-04 14:05:39,785369,41385,272350,1224,14405,62,66
2026-04-04 14:05:40,829582,44213,287691,1291,15408,58,66
2026-04-04 14:05:41,872505,42923,302601,1348,14967,63,66
2026-04-04 14:05:42,917060,44555,318072,1411,15534,65,66
2026-04-04 14:05:43,961521,44461,333544,1477,15538,63,66
2026-04-04 14:05:45,1007892,46371,349590,1555,16124,65,66
2026-04-04 14:05:46,1055052,47160,365919,1636,16410,57,66
2026-04-04 14:05:47,1101849,46797,382170,1706,16321,64,66
2026-04-04 14:05:48,1149226,47377,398606,1780,16510,64,66
2026-04-04 14:05:49,1195937,46711,414809,1843,16266,66,67
2026-04-04 14:05:50,1244731,48794,431759,1924,17031,59,66
2026-04-04 14:05:51,1291839,47108,448099,1995,16411,61,66
2026-04-04 14:05:52,1341824,49985,465437,2075,17418,61,66
2026-04-04 14:05:53,1389634,47810,482011,2141,16640,61,66
2026-04-04 14:05:54,1439356,49722,499249,2221,17318,65,66
2026-04-04 14:05:55,1486689,47333,515664,2295,16489,62,66
2026-04-04 14:05:57,1534962,48273,532382,2369,16792,58,66
2026-04-04 14:05:58,1581821,46859,548631,2433,16313,62,66
2026-04-04 14:05:59,1628763,46942,564938,2504,16378,61,66
2026-04-04 14:06:00,1677461,48698,581802,2572,16932,61,66
2026-04-04 14:06:01,1724100,46639,597996,2623,16245,66,67
2026-04-04 14:06:02,1772338,48238,614758,2703,16842,59,66
2026-04-04 14:06:03,1818579,46241,630790,2789,16118,63,66
2026-04-04 14:06:04,1868226,49647,648015,2858,17294,61,66
2026-04-04 14:06:05,1914270,46044,663982,2935,16044,61,66
2026-04-04 14:06:06,1962705,48435,680759,3013,16855,65,66
2026-04-04 14:06:07,2007388,44683,696244,3087,15559,64,66
