timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected
2026-04-04 14:09:10,53,0,0,0,0,2,1
2026-04-04 14:09:11,146,93,23,0,23,3,3
2026-04-04 14:09:12,816,670,251,0,228,5,5
2026-04-04 14:09:13,2472,1656,817,2,568,7,7
2026-04-04 14:09:14,5445,2973,1834,6,1021,9,9
2026-04-04 14:09:16,9627,4182,3278,13,1451,11,12
2026-04-04 14:09:17,15150,5523,5182,25,1916,14,14
2026-04-04 14:09:18,22083,6933,7573,37,2403,15,16
2026-04-04 14:09:19,30222,8139,10397,48,2835,18,18
2026-04-04 14:09:20,39831,9609,13727,58,3340,18,20
2026-04-04 14:09:21,50855,11024,17559,77,3851,21,23
2026-04-04 14:09:22,63347,12492,21903,95,4362,23,24
2026-04-04 14:09:23,77203,13856,26698,121,4821,26,26
2026-04-04 14:09:24,92063,14860,31870,134,5185,27,29
2026-04-04 14:09:25,108315,16252,37491,156,5643,30,31
2026-04-04 14:09:26,125720,17405,43545,170,6068,31,33
2026-04-04 14:09:27,144262,18542,49984,196,6465,35,35
2026-04-04 14:09:28,164651,20389,57033,231,7084,34,37
2026-04-04 14:09:29,185920,21269,64424,254,7414,37,39
2026-04-04 14:09:30,209079,23159,72441,274,8037,39,41
2026-04-04 14:09:32,232967,23888,80680,318,8283,41,44
2026-04-04 14:09:33,258151,25184,89418,358,8778,44,46
2026-04-04 14:09:34,283457,25306,98190,393,8807,46,48
2026-04-04 14:09:35,309080,25623,107097,435,8949,48,50
2026-04-04 14:09:36,335934,26854,116396,482,9346,48,52
2026-04-04 14:09:37,363904,27970,126065,533,9720,50,54
2026-04-04 14:09:38,392598,28694,136038,579,10019,56,57
2026-04-04 14:09:39,420826,28228,145806,611,9800,59,59
2026-04-04 14:09:40,451910,31084,156591,660,10834,57,61
2026-04-04 14:09:41,483635,31725,167597,709,11055,56,63
2026-04-04 14:09:42,516683,33048,179054,763,11511,61,65
2026-04-04 14:09:43,550394,33711,190732,822,11737,66,66
2026-04-04 14:09:45,585198,34804,202847,872,12165,63,66
2026-04-04 14:09:46,620849,35651,215194,938,12413,64,66
2026-04-04 14:09:47,657765,36916,228010,999,12877,63,66
2026-04-04 14:09:48,695192,37427,240973,1056,13020,61,66
2026-04-04 14:09:49,732908,37716,254047,1116,13134,58,67
2026-04-04 14:09:50,770254,37346,266989,1164,12990,60,66
2026-04-04 14:09:51,806111,35857,279470,1214,12531,66,66
2026-04-04 14:09:52,843398,37287,292332,1283,12931,62,66
2026-04-04 14:09:53,880825,37427,305313,1345,13043,60,66
2026-04-04 14:09:54,917863,37038,318194,1409,12945,63,66
2026-04-04 14:09:55,955986,38123,331422,1481,13300,66,66
2026-04-04 14:09:57,995625,39639,345152,1543,13792,64,66
2026-04-04 14:09:58,1035296,39671,358934,1600,13839,64,66
2026-04-04 14:09:59,1074474,39178,372565,1654,13685,63,66
2026-04-04 14:10:00,1114622,40148,386497,1718,13996,60,66
2026-04-04 14:10:01,1155325,40703,400622,1799,14206,63,67
2026-04-04 14:10:02,1196546,41221,414918,1863,14360,62,66
2026-04-04 14:10:03,1237474,40928,429119,1932,14270,66,66
2026-04-04 14:10:04,1268372,30898,439873,1983,10805,66,66
2026-04-04 14:10:05,1299338,30966,450634,2029,10807,66,66
2026-04-04 14:10:06,1330045,30707,461244,2076,10657,66,66
2026-04-04 14:10:07,1360078,30033,471711,2141,10532,66,66
2026-04-04 14:10:08,1392661,32583,482960,2192,11300,61,66
2026-04-04 14:10:09,1426992,34331,494843,2251,11942,63,66
2026-04-04 14:10:11,1462367,35375,507094,2317,12317,60,66
2026-04-04 14:10:12,1497540,35173,519271,2366,12226,65,66
2026-04-04 14:10:13,1533266,35726,531647,2420,12430,62,66
2026-04-04 14:10:14,1569029,35763,544080,2480,12493,66,66
2026-04-04 14:10:15,1604756,35727,556462,2539,12441,66,67
2026-04-04 14:10:16,1640367,35611,568863,2581,12443,60,66
2026-04-04 14:10:17,1674902,34535,580884,2636,12076,66,66
2026-04-04 14:10:18,1708182,33280,592422,2699,11601,66,66
2026-04-04 14:10:19,1742268,34086,604191,2760,11830,62,66
2026-04-04 14:10:20,1781772,39504,617892,2820,13761,64,66
2026-04-04 14:10:21,1820637,38865,631329,2873,13490,66,66
2026-04-04 14:10:22,1860370,39733,645087,2930,13815,65,66
2026-04-04 14:10:24,1897837,37467,658093,2985,13061,65,66
2026-04-04 14:10:25,1935505,37668,671153,3040,13115,61,66
2026-04-04 14:10:26,1973080,37575,684205,3098,13110,63,66
2026-04-04 14:10:27,2011121,38041,697382,3167,13246,59,67
2026-04-04 14:10:28,2049198,38077,710577,3234,13262,65,66
2026-04-04 14:10:29,2087080,37882,723759,3292,13240,66,66
2026-04-04 14:10:30,2121565,34485,735734,3353,12036,66,66
2026-04-04 14:10:31,2156925,35360,747999,3405,12317,66,66
2026-04-04 14:10:32,2195780,38855,761429,3463,13488,57,66
2026-04-04 14:10:33,2231669,35889,773886,3520,12514,63,66
2026-04-04 14:10:34,2268870,37201,786769,3597,12960,62,66
2026-04-04 14:10:36,2306280,37410,799716,3661,13011,65,66
2026-04-04 14:10:37,2343280,37000,812561,3703,12887,66,66
2026-04-04 14:10:38,2380281,37001,825403,3755,12894,63,66
2026-04-04 14:10:39,2417229,36948,838214,3806,12862,62,66
2026-04-04 14:10:40,2456322,39093,851769,3866,13615,58,66
2026-04-04 14:10:41,2494833,38511,865130,3926,13421,64,66
2026-04-04 14:10:42,2532072,37239,878104,3982,13030,66,66
2026-04-04 14:10:43,2567048,34976,890241,4046,12201,66,66
2026-04-04 14:10:44,2601388,34340,902168,4101,11982,66,66
2026-04-04 14:10:45,2637077,35689,914505,4162,12398,66,66
2026-04-04 14:10:46,2676049,38972,928019,4228,13580,66,66
2026-04-04 14:10:47,2715108,39059,941535,4283,13571,62,66
2026-04-04 14:10:49,2752887,37779,954690,4327,13199,65,66
2026-04-04 14:10:50,2791135,38248,967947,4398,13328,66,66
2026-04-04 14:10:51,2831167,40032,981832,4452,13939,62,66
2026-04-04 14:10:52,2868699,37532,994854,4511,13081,63,66
2026-04-04 14:10:53,2907240,38541,1008261,4560,13456,66,67
2026-04-04 14:10:54,2946161,38921,1021726,4614,13519,61,66
2026-04-04 14:10:55,2983244,37083,1034603,4668,12931,66,66
2026-04-04 14:10:56,3018862,35618,1046955,4721,12405,66,66
2026-04-04 14:10:57,3053300,34438,1058886,4775,11985,66,66
2026-04-04 14:10:58,3090591,37291,1071773,4844,12956,64,66
2026-04-04 14:10:59,3129823,39232,1085384,4909,13676,60,66
2026-04-04 14:11:00,3168626,38803,1098843,4977,13527,66,66
2026-04-04 14:11:02,3206692,38066,1112071,5040,13291,63,66
2026-04-04 14:11:03,3246605,39913,1125879,5109,13877,63,66
2026-04-04 14:11:04,3284321,37716,1138953,5168,13133,62,66
2026-04-04 14:11:05,3321837,37516,1152007,5231,13117,64,67
2026-04-04 14:11:06,3360570,38733,1165397,5299,13458,62,66
2026-04-04 14:11:07,3398833,38263,1178675,5361,13340,62,66
2026-04-04 14:11:08,3435443,36610,1191398,5421,12783,66,66
2026-04-04 14:11:09,3470689,35246,1203623,5468,12272,66,66
2026-04-04 14:11:10,3506240,35551,1215932,5505,12346,66,66
