timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected
2026-04-04 15:22:39,24898987,0,8636657,38043,0,2,1
2026-04-04 15:22:40,24899413,426,8636797,38043,140,3,3
2026-04-04 15:22:41,24902651,3238,8637917,38044,1121,5,5
2026-04-04 15:22:42,24908936,6285,8640090,38056,2185,7,7
2026-04-04 15:22:43,24917936,9000,8643209,38073,3136,9,9
2026-04-04 15:22:44,24929627,11691,8647264,38087,4069,11,12
2026-04-04 15:22:45,24943817,14190,8652188,38105,4942,14,15
2026-04-04 15:22:46,24960706,16889,8658012,38134,5853,15,16
2026-04-04 15:22:47,24978893,18187,8664310,38166,6330,16,18
2026-04-04 15:22:48,24998757,19864,8671188,38211,6923,20,20
2026-04-04 15:22:49,25020694,21937,8678772,38256,7629,22,22
2026-04-04 15:22:50,25044028,23334,8686865,38295,8132,21,24
2026-04-04 15:22:51,25069702,25674,8695761,38317,8918,25,26
2026-04-04 15:22:52,25096676,26974,8705133,38357,9412,29,29
2026-04-04 15:22:53,25125492,28816,8715130,38400,10040,31,31
2026-04-04 15:22:55,25156762,31270,8725953,38447,10870,32,33
2026-04-04 15:22:56,25188959,32197,8737091,38495,11186,33,35
2026-04-04 15:22:57,25221832,32873,8748488,38536,11438,37,37
2026-04-04 15:22:58,25256582,34750,8760526,38598,12100,37,39
2026-04-04 15:22:59,25293148,36566,8773217,38647,12740,38,42
2026-04-04 15:23:00,25331510,38362,8786523,38690,13349,42,44
2026-04-04 15:23:01,25369666,38156,8799773,38751,13311,46,46
2026-04-04 15:23:02,25409094,39428,8813464,38797,13737,48,48
2026-04-04 15:23:03,25449898,40804,8827593,38857,14189,43,50
2026-04-04 15:23:04,25491517,41619,8841995,38931,14476,51,52
2026-04-04 15:23:05,25532837,41320,8856341,38988,14403,53,54
2026-04-04 15:23:06,25576896,44059,8871652,39052,15375,50,57
2026-04-04 15:23:08,25622692,45796,8887511,39126,15933,52,59
2026-04-04 15:23:09,25669276,46584,8903695,39178,16236,55,61
2026-04-04 15:23:10,25717075,47799,8920295,39236,16658,60,63
2026-04-04 15:23:11,25765610,48535,8937162,39299,16930,57,65
2026-04-04 15:23:12,25813248,47638,8953669,39379,16587,65,66
2026-04-04 15:23:13,25861673,48425,8970449,39456,16857,56,67
2026-04-04 15:23:14,25910842,49169,8987512,39530,17137,66,66
2026-04-04 15:23:15,25960267,49425,9004641,39604,17203,65,66
2026-04-04 15:23:16,26008746,48479,9021493,39689,16937,66,66
2026-04-04 15:23:17,26057213,48467,9038295,39767,16880,65,66
2026-04-04 15:23:18,26106521,49308,9055313,39857,17108,62,66
2026-04-04 15:23:20,26155100,48579,9072180,39921,16931,65,66
2026-04-04 15:23:21,26203974,48874,9089130,39992,17021,62,66
2026-04-04 15:23:22,26253051,49077,9106129,40079,17086,59,66
2026-04-04 15:23:23,26299701,46650,9122301,40153,16246,63,66
2026-04-04 15:23:24,26345400,45699,9138150,40229,15925,66,66
2026-04-04 15:23:25,26393335,47935,9154755,40302,16678,62,67
2026-04-04 15:23:26,26440765,47430,9171205,40379,16527,62,66
2026-04-04 15:23:27,26488344,47579,9187708,40459,16583,61,66
2026-04-04 15:23:28,26534155,45811,9203645,40536,16014,48,66
2026-04-04 15:23:29,26579269,45114,9219240,40614,15673,65,66
2026-04-04 15:23:31,26627771,48502,9236046,40685,16877,65,66
