timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected
2026-04-04 16:12:24,328,0,0,0,0,2,1
2026-04-04 16:12:25,398,70,16,0,16,3,3
2026-04-04 16:12:26,1107,709,258,0,242,5,5
2026-04-04 16:12:27,3010,1903,908,1,651,7,7
2026-04-04 16:12:28,6218,3208,2015,3,1109,9,9
2026-04-04 16:12:30,10641,4423,3545,6,1533,11,12
2026-04-04 16:12:31,16584,5943,5595,15,2059,13,14
2026-04-04 16:12:32,23764,7180,8082,26,2498,16,16
2026-04-04 16:12:33,32654,8890,11145,46,3083,18,18
2026-04-04 16:12:34,43224,10570,14794,66,3669,20,20
2026-04-04 16:12:35,55536,12312,19048,80,4268,22,22
2026-04-04 16:12:36,69364,13828,23833,104,4809,24,24
2026-04-04 16:12:37,84182,14818,28985,136,5184,25,26
2026-04-04 16:12:38,100610,16428,34673,156,5708,28,29
2026-04-04 16:12:39,118553,17943,40876,191,6238,31,32
2026-04-04 16:12:40,137104,18551,47317,219,6469,33,33
2026-04-04 16:12:41,156991,19887,54213,252,6929,35,35
2026-04-04 16:12:42,178571,21580,61699,286,7520,37,37
2026-04-04 16:12:43,201358,22787,69612,319,7946,38,39
2026-04-04 16:12:44,225718,24360,78040,356,8465,41,41
2026-04-04 16:12:46,250820,25102,86751,389,8744,41,44
2026-04-04 16:12:47,276995,26175,95813,429,9102,43,46
2026-04-04 16:12:48,304853,27858,105457,467,9682,48,48
2026-04-04 16:12:49,332951,28098,115190,514,9780,50,50
2026-04-04 16:12:50,362038,29087,125268,561,10125,52,52
2026-04-04 16:12:51,393688,31650,136213,603,10987,54,54
2026-04-04 16:12:52,425300,31612,147193,648,11025,57,57
2026-04-04 16:12:53,458092,32792,158558,708,11425,59,59
2026-04-04 16:12:54,493359,35267,170760,754,12248,60,61
2026-04-04 16:12:55,529881,36522,183408,807,12701,63,63
2026-04-04 16:12:56,567062,37181,196322,858,12965,65,65
2026-04-04 16:12:58,605141,38079,209511,914,13245,65,66
2026-04-04 16:12:59,644487,39346,223150,972,13697,65,66
2026-04-04 16:13:00,682212,37725,236194,1039,13111,66,66
2026-04-04 16:13:01,720149,37937,249323,1107,13197,65,66
