timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected
2026-04-04 16:37:07,108,0,0,0,0,1,1
2026-04-04 16:37:08,258,150,43,0,43,2,3
2026-04-04 16:37:09,1600,1342,505,2,464,4,5
2026-04-04 16:37:10,4842,3242,1621,4,1118,5,7
2026-04-04 16:37:11,10082,5240,3434,13,1822,7,9
2026-04-04 16:37:12,17301,7219,5935,22,2510,10,12
2026-04-04 16:37:13,26800,9499,9232,30,3305,13,15
2026-04-04 16:37:14,38029,11229,13126,48,3912,14,16
2026-04-04 16:37:15,51417,13388,17762,64,4652,15,18
2026-04-04 16:37:16,65925,14508,22799,92,5065,19,20
2026-04-04 16:37:17,82488,16563,28548,113,5770,20,22
2026-04-04 16:37:18,100160,17672,34695,136,6170,22,24
2026-04-04 16:37:20,119435,19275,41354,170,6693,25,27
2026-04-04 16:37:21,139845,20410,48437,204,7117,27,29
2026-04-04 16:37:22,161061,21216,55789,239,7387,30,31
2026-04-04 16:37:23,183580,22519,63601,274,7847,29,33
2026-04-04 16:37:24,207979,24399,72032,314,8471,32,35
2026-04-04 16:37:25,232811,24832,80649,347,8650,34,37
2026-04-04 16:37:26,259160,26349,89811,385,9200,38,39
2026-04-04 16:37:27,286961,27801,99457,423,9684,42,43
2026-04-04 16:37:28,314966,28005,109209,469,9798,42,44
2026-04-04 16:37:29,344531,29565,119461,516,10299,42,46
2026-04-04 16:37:30,373898,29367,129629,558,10210,44,48
2026-04-04 16:37:31,403241,29343,139817,596,10226,49,50
2026-04-04 16:37:32,433942,30701,150453,638,10678,49,52
2026-04-04 16:37:34,465790,31848,161464,693,11066,52,54
2026-04-04 16:37:35,497998,32208,172649,727,11219,56,57
2026-04-04 16:37:36,531564,33566,184290,777,11691,55,59
2026-04-04 16:37:37,565768,34204,196173,831,11937,58,61
2026-04-04 16:37:38,603152,37384,209114,898,13008,59,63
2026-04-04 16:37:39,641473,38321,222418,961,13367,56,65
2026-04-04 16:37:40,681240,39767,236216,1015,13852,61,66
2026-04-04 16:37:41,721622,40382,250265,1082,14116,62,66
2026-04-04 16:37:42,762147,40525,264352,1140,14145,59,66
2026-04-04 16:37:43,804261,42114,278975,1202,14685,61,66
2026-04-04 16:37:44,846935,42674,293776,1277,14876,54,66
2026-04-04 16:37:46,890407,43472,308852,1345,15144,64,66
2026-04-04 16:37:47,935370,44963,324450,1412,15665,62,66
2026-04-04 16:37:48,980646,45276,340183,1482,15803,61,66
2026-04-04 16:37:49,1026353,45707,356020,1554,15909,63,66
2026-04-04 16:37:50,1072628,46275,372102,1634,16162,56,66
2026-04-04 16:37:51,1119395,46767,388330,1711,16305,58,66
2026-04-04 16:37:52,1166827,47432,404743,1791,16493,63,66
2026-04-04 16:37:53,1214983,48156,421435,1872,16773,65,67
2026-04-04 16:37:54,1262966,47983,438079,1945,16717,63,66
2026-04-04 16:37:55,1311831,48865,455014,2020,17010,60,66
2026-04-04 16:37:56,1360456,48625,471867,2094,16927,64,66
2026-04-04 16:37:58,1409872,49416,489027,2169,17235,59,66
2026-04-04 16:37:59,1458094,48222,505755,2229,16788,65,66
2026-04-04 16:38:00,1505490,47396,522199,2303,16518,64,66
2026-04-04 16:38:01,1552471,46981,538552,2369,16419,63,66
2026-04-04 16:38:02,1601056,48585,555349,2425,16853,54,66
2026-04-04 16:38:03,1649904,48848,572264,2516,17006,65,66
2026-04-04 16:38:04,1698523,48619,589115,2589,16924,59,66
2026-04-04 16:38:05,1747315,48792,605999,2672,16967,64,67
2026-04-04 16:38:06,1796685,49370,623144,2749,17222,60,66
2026-04-04 16:38:07,1847107,50422,640609,2825,17541,59,66
2026-04-04 16:38:08,1896150,49043,657598,2896,17060,63,66
2026-04-04 16:38:10,1945434,49284,674672,2974,17152,60,66
2026-04-04 16:38:11,1994589,49155,691741,3049,17144,62,66
2026-04-04 16:38:12,2043605,49016,708750,3119,17079,59,66
2026-04-04 16:38:13,2091452,47847,725372,3190,16693,62,66
2026-04-04 16:38:14,2140139,48687,742253,3259,16950,60,66
2026-04-04 16:38:15,2189595,49456,759408,3341,17237,60,66
2026-04-04 16:38:16,2239190,49595,776601,3428,17280,62,66
2026-04-04 16:38:17,2288673,49483,793758,3497,17226,60,67
2026-04-04 16:38:18,2337332,48659,810637,3576,16958,63,66
2026-04-04 16:38:19,2386008,48676,827568,3641,16996,55,66
2026-04-04 16:38:20,2435526,49518,844708,3718,17217,64,66
2026-04-04 16:38:22,2486298,50772,862286,3806,17666,61,66
2026-04-04 16:38:23,2536307,50009,879643,3873,17424,53,66
2026-04-04 16:38:24,2585873,49566,896811,3946,17241,62,66
2026-04-04 16:38:25,2634957,49084,913832,4020,17095,64,66
2026-04-04 16:38:26,2684707,49750,931095,4094,17337,63,66
2026-04-04 16:38:27,2737523,52816,949421,4175,18407,63,66
2026-04-04 16:38:28,2790715,53192,967878,4247,18529,64,66
2026-04-04 16:38:29,2843354,52639,986178,4331,18384,66,67
2026-04-04 16:38:30,2895723,52369,1004289,4407,18187,63,66
2026-04-04 16:38:31,2947773,52050,1022299,4486,18089,57,66
2026-04-04 16:38:32,3000241,52468,1040487,4571,18273,58,66
2026-04-04 16:38:34,3051276,51035,1058176,4660,17778,58,66
2026-04-04 16:38:35,3103795,52519,1076399,4733,18296,63,66
2026-04-04 16:38:36,3156507,52712,1094646,4838,18352,61,66
2026-04-04 16:38:37,3210001,53494,1113198,4913,18627,58,66
2026-04-04 16:38:38,3262459,52458,1131404,5003,18296,57,66
2026-04-04 16:38:39,3313852,51393,1149244,5089,17926,61,66
2026-04-04 16:38:40,3365224,51372,1167093,5170,17930,64,66
2026-04-04 16:38:41,3418309,53085,1185494,5252,18483,57,67
2026-04-04 16:38:42,3470898,52589,1203737,5321,18312,65,66
2026-04-04 16:38:43,3522760,51862,1221722,5410,18074,60,66
2026-04-04 16:38:44,3572682,49922,1239028,5483,17379,63,66
