timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected,pages_flushed,pages_flushed_ps,purge_trx_id,purge_tps,history_list_length
2026-04-04 17:05:35,75,0,0,0,0,1,1,0,0,0,0,0
2026-04-04 17:05:36,162,87,21,0,21,2,3,0,0,0,0,20
2026-04-04 17:05:37,815,653,239,1,219,4,5,0,0,0,0,193
2026-04-04 17:05:38,2468,1653,799,5,564,6,7,0,0,0,0,56
2026-04-04 17:05:39,5221,2753,1751,10,957,9,10,0,0,0,0,327
2026-04-04 17:05:40,10185,4964,3455,18,1712,11,12,0,0,0,0,580
2026-04-04 17:05:41,16796,6611,5749,28,2304,12,14,0,0,0,0,1326
2026-04-04 17:05:42,25361,8565,8702,41,2966,14,16,0,0,0,0,1315
2026-04-04 17:05:43,35305,9944,12152,59,3468,18,19,0,0,0,0,3690
2026-04-04 17:05:44,47263,11958,16298,84,4171,19,20,0,0,0,0,3783
2026-04-04 17:05:45,60445,13182,20854,102,4574,21,22,0,0,0,0,3257
2026-04-04 17:05:46,74771,14326,25824,121,4989,22,25,0,0,0,0,6963
2026-04-04 17:05:48,90289,15518,31196,148,5399,23,27,0,0,0,0,11347
2026-04-04 17:05:49,107720,17431,37255,175,6086,26,29,0,0,0,0,16550
2026-04-04 17:05:50,126699,18979,43837,201,6608,29,31,0,0,0,0,5574
2026-04-04 17:05:51,147160,20461,50911,229,7102,31,33,0,0,0,0,7454
2026-04-04 17:05:52,168538,21378,58329,258,7447,33,35,0,0,0,0,10546
2026-04-04 17:05:53,190800,22262,66048,292,7753,34,38,0,0,0,0,17112
2026-04-04 17:05:54,214984,24184,74436,318,8414,38,40,0,0,0,0,22534
2026-04-04 17:05:55,239679,24695,83003,364,8613,41,42,0,0,0,0,18082
2026-04-04 17:05:56,266479,26800,92275,412,9320,42,44,0,0,0,0,24983
2026-04-04 17:05:57,294620,28141,101996,466,9775,40,46,0,0,0,0,32963
2026-04-04 17:05:58,325288,30668,112636,504,10678,44,48,0,0,0,0,41507
2026-04-04 17:05:59,357266,31978,123728,546,11134,47,51,0,0,0,0,48628
