timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected,pages_flushed,pages_flushed_ps,purge_trx_id,purge_tps,history_list_length
2026-04-04 23:22:54,615367,0,211462,954,0,1,1,0,0,0,0,0
2026-04-04 23:22:55,615730,363,211578,954,116,2,3,0,0,0,0,75
2026-04-04 23:22:56,618428,2698,212514,955,937,4,5,0,0,0,0,804
2026-04-04 23:22:57,623949,5521,214413,962,1906,6,7,0,0,0,0,662
2026-04-04 23:22:59,632403,8454,217322,971,2918,8,9,0,0,0,0,302
2026-04-04 23:23:00,643525,11122,221171,990,3868,9,12,0,0,0,0,470
2026-04-04 23:23:01,657139,13614,225875,1019,4733,12,14,0,0,0,0,1197
2026-04-04 23:23:02,672619,15480,231234,1042,5382,14,16,0,0,0,0,1804
2026-04-04 23:23:03,689979,17360,237238,1070,6032,16,18,0,0,0,0,1926
2026-04-04 23:23:04,709075,19096,243837,1096,6625,19,20,0,0,0,0,2709
2026-04-04 23:23:05,729684,20609,250992,1130,7189,17,22,0,0,0,0,3119
2026-04-04 23:23:06,752521,22837,258911,1164,7953,24,25,0,0,0,0,5206
2026-04-04 23:23:07,777477,24956,267568,1200,8693,25,28,0,0,0,0,5757
2026-04-04 23:23:08,804154,26677,276803,1241,9276,27,29,0,0,0,0,6092
2026-04-04 23:23:09,832401,28247,286572,1287,9815,28,31,0,0,0,0,3797
2026-04-04 23:23:10,862594,30193,297025,1329,10495,29,33,0,0,0,0,8694
2026-04-04 23:23:11,894819,32225,308176,1370,11192,31,35,0,0,0,0,5478
2026-04-04 23:23:13,927873,33054,319630,1426,11510,34,38,0,0,0,0,7723
2026-04-04 23:23:14,962508,34635,331615,1483,12042,37,40,0,0,0,0,17269
2026-04-04 23:23:15,998399,35891,344060,1526,12488,38,42,0,0,0,0,27304
2026-04-04 23:23:16,1035876,37477,357045,1587,13046,41,44,0,0,0,0,36606
2026-04-04 23:23:17,1073484,37608,370067,1646,13081,40,46,0,0,0,0,46127
2026-04-04 23:23:18,1111845,38361,383378,1707,13372,39,48,0,0,0,0,56307
2026-04-04 23:23:19,1151747,39902,397193,1783,13891,46,51,0,0,0,0,66580
2026-04-04 23:23:20,1193020,41273,411477,1850,14351,47,53,0,0,0,0,75164
