timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected,pages_flushed,pages_flushed_ps,purge_trx_id,purge_tps,history_list_length
2026-04-04 23:43:16,31,0,0,0,0,2,1,196,0,0,0,0
2026-04-04 23:43:17,108,77,17,1,18,3,3,196,0,0,0,0
2026-04-04 23:43:18,664,556,207,5,194,5,5,983,787,0,0,0
2026-04-04 23:43:19,2205,1541,739,6,533,7,7,983,0,0,0,0
2026-04-04 23:43:20,5198,2993,1772,8,1035,9,9,983,0,0,0,0
2026-04-04 23:43:21,9338,4140,3190,16,1426,11,12,983,0,0,0,0
2026-04-04 23:43:23,14862,5524,5096,28,1918,14,14,983,0,0,0,0
2026-04-04 23:43:24,21958,7096,7549,37,2462,16,16,983,0,0,0,0
2026-04-04 23:43:25,30426,8468,10487,55,2956,16,18,983,0,0,0,0
2026-04-04 23:43:26,40358,9932,13918,71,3447,19,20,983,0,0,0,0
2026-04-04 23:43:27,52059,11701,17947,86,4044,22,22,983,0,0,0,0
2026-04-04 23:43:28,64760,12701,22334,111,4412,24,24,983,0,0,0,0
2026-04-04 23:43:29,78815,14055,27192,130,4877,26,27,983,0,0,0,0
2026-04-04 23:43:30,94442,15627,32591,164,5433,28,29,983,0,0,0,0
2026-04-04 23:43:31,111266,16824,38422,190,5857,28,32,983,0,0,0,0
2026-04-04 23:43:32,128705,17439,44488,219,6095,31,33,983,0,0,0,0
2026-04-04 23:43:33,147673,18968,51084,259,6636,34,35,983,0,0,0,0
2026-04-04 23:43:34,168265,20592,58221,286,7164,35,37,983,0,0,0,0
2026-04-04 23:43:35,190171,21906,65808,325,7626,38,40,983,0,0,0,0
2026-04-04 23:43:37,213482,23311,73879,362,8108,40,42,983,0,0,0,0
2026-04-04 23:43:38,237631,24149,82258,403,8420,43,44,983,0,0,0,0
2026-04-04 23:43:39,263676,26045,91276,454,9069,40,46,983,0,0,0,0
2026-04-04 23:43:40,290863,27187,100677,492,9439,46,48,1351,368,0,0,0
2026-04-04 23:43:41,319402,28539,110564,530,9925,49,50,1767,416,0,0,0
2026-04-04 23:43:42,348830,29428,120762,565,10233,50,53,2215,448,0,0,0
2026-04-04 23:43:43,379125,30295,131283,617,10573,53,55,2663,448,0,0,0
2026-04-04 23:43:44,411038,31913,142346,670,11116,53,57,3143,480,0,0,0
2026-04-04 23:43:45,440273,29235,152478,715,10177,57,60,9335,6192,0,0,0
2026-04-04 23:43:46,471481,31208,163260,761,10828,59,61,15287,5952,0,0,0
