timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected,pages_flushed,pages_flushed_ps,purge_trx_id,purge_tps,history_list_length
2026-04-05 07:53:48,26,0,0,0,0,1,1,0,0,0,0,0
2026-04-05 07:53:49,86,60,16,0,16,2,3,0,0,0,0,12
2026-04-05 07:53:50,655,569,215,0,199,4,5,0,0,0,0,154
2026-04-05 07:53:51,2173,1518,739,1,525,6,7,0,0,0,0,434
2026-04-05 07:53:52,4901,2728,1680,5,945,8,10,0,0,0,0,808
2026-04-05 07:53:53,8673,3772,2991,10,1316,11,12,0,0,0,0,1611
2026-04-05 07:53:54,14020,5347,4849,15,1863,13,14,0,0,0,0,2468
2026-04-05 07:53:55,20984,6964,7256,26,2418,14,16,0,0,0,0,2412
2026-04-05 07:53:56,29009,8025,10038,32,2788,15,18,0,0,0,0,3879
2026-04-05 07:53:57,38626,9617,13360,50,3340,19,20,0,0,0,0,6886
2026-04-05 07:53:58,49694,11068,17195,62,3847,20,22,0,0,0,0,10327
2026-04-05 07:54:00,61944,12250,21433,77,4253,23,25,0,0,0,0,10194
2026-04-05 07:54:01,75371,13427,26096,96,4682,25,27,0,0,0,0,5368
2026-04-05 07:54:02,90613,15242,31380,120,5308,26,29,0,0,0,0,10190
2026-04-05 07:54:03,109083,18470,37772,159,6431,29,31,0,0,0,0,15871
2026-04-05 07:54:04,128970,19887,44677,179,6925,31,33,0,0,0,0,21897
2026-04-05 07:54:05,150415,21445,52130,215,7489,33,35,0,0,0,0,28579
2026-04-05 07:54:06,174092,23677,60326,254,8235,36,38,0,0,0,0,29497
2026-04-05 07:54:07,198522,24430,68809,292,8521,36,40,0,0,0,0,37011
2026-04-05 07:54:08,223561,25039,77488,324,8711,38,42,0,0,0,0,44534
2026-04-05 07:54:09,248254,24693,86042,350,8580,42,44,0,0,0,0,51185
2026-04-05 07:54:10,273439,25185,94801,395,8804,43,46,0,0,0,0,58683
2026-04-05 07:54:11,300275,26836,104121,429,9354,47,48,0,0,0,0,66671
2026-04-05 07:54:13,327834,27559,113697,465,9612,49,51,0,0,0,0,74189
2026-04-05 07:54:14,356832,28998,123720,511,10069,51,53,0,0,0,0,82025
2026-04-05 07:54:15,386291,29459,133877,563,10209,50,55,0,0,0,0,89842
2026-04-05 07:54:16,416426,30135,144346,601,10507,55,57,0,0,0,0,97802
2026-04-05 07:54:17,447874,31448,155272,644,10969,55,59,0,0,0,0,106961
2026-04-05 07:54:18,480391,32517,166537,699,11320,51,62,0,0,0,0,114974
2026-04-05 07:54:19,515277,34886,178630,746,12140,60,64,0,0,0,0,124876
2026-04-05 07:54:20,553019,37742,191716,800,13140,64,66,0,0,0,0,133027
2026-04-05 07:54:21,589370,36351,204356,850,12690,63,66,0,0,0,0,141810
2026-04-05 07:54:22,627671,38301,217674,905,13373,63,66,0,0,0,0,151217
2026-04-05 07:54:24,667371,39700,231448,966,13835,63,66,0,0,0,0,159337
2026-04-05 07:54:25,707936,40565,245499,1035,14120,60,66,0,0,0,0,166013
2026-04-05 07:54:26,749265,41329,259828,1102,14396,62,66,0,0,0,0,172129
2026-04-05 07:54:27,791636,42371,274521,1171,14762,60,66,0,0,0,0,178883
2026-04-05 07:54:28,833173,41537,288963,1222,14493,61,66,0,0,0,0,184778
